/home/labic/miniconda3/envs/tabs/lib/python3.10/site-packages/torch/nn/modules/conv.py:370: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1025.)
  return F.conv1d(

 === Started run 1 === 

    --- Executing dataset Covid3Month --- 

Training H1

Epoch 1/2000 | Train MSE: 0.002826
Epoch 2/2000 | Train MSE: 0.001999
Epoch 3/2000 | Train MSE: 0.001699
Epoch 4/2000 | Train MSE: 0.001942
Epoch 5/2000 | Train MSE: 0.001792
Epoch 6/2000 | Train MSE: 0.001708
Epoch 7/2000 | Train MSE: 0.001597
Epoch 8/2000 | Train MSE: 0.001598
Epoch 9/2000 | Train MSE: 0.001591
Epoch 10/2000 | Train MSE: 0.001590
Epoch 11/2000 | Train MSE: 0.001562
Epoch 12/2000 | Train MSE: 0.001545
Epoch 13/2000 | Train MSE: 0.001576
Epoch 14/2000 | Train MSE: 0.001493
Epoch 15/2000 | Train MSE: 0.001498
Epoch 16/2000 | Train MSE: 0.001397
Epoch 17/2000 | Train MSE: 0.001343
Epoch 18/2000 | Train MSE: 0.001907
Epoch 19/2000 | Train MSE: 0.001375
Epoch 20/2000 | Train MSE: 0.001386
Epoch 21/2000 | Train MSE: 0.001351
Epoch 22/2000 | Train MSE: 0.001240
Epoch 23/2000 | Train MSE: 0.001020
Epoch 24/2000 | Train MSE: 0.001222
Epoch 25/2000 | Train MSE: 0.001432
Epoch 26/2000 | Train MSE: 0.001120
Epoch 27/2000 | Train MSE: 0.000990
Epoch 28/2000 | Train MSE: 0.000924
Epoch 29/2000 | Train MSE: 0.000886
Epoch 30/2000 | Train MSE: 0.001072
Epoch 31/2000 | Train MSE: 0.000919
Epoch 32/2000 | Train MSE: 0.000756
Epoch 33/2000 | Train MSE: 0.000793
Epoch 34/2000 | Train MSE: 0.000747
Epoch 35/2000 | Train MSE: 0.000663
Epoch 36/2000 | Train MSE: 0.000650
Epoch 37/2000 | Train MSE: 0.000777
Epoch 38/2000 | Train MSE: 0.000748
Epoch 39/2000 | Train MSE: 0.000712
Epoch 40/2000 | Train MSE: 0.000459
Epoch 41/2000 | Train MSE: 0.000435
Epoch 42/2000 | Train MSE: 0.000364
Epoch 43/2000 | Train MSE: 0.000304
Epoch 44/2000 | Train MSE: 0.000360
Epoch 45/2000 | Train MSE: 0.000273
Epoch 46/2000 | Train MSE: 0.000196
Epoch 47/2000 | Train MSE: 0.000164
Epoch 48/2000 | Train MSE: 0.000136
Epoch 49/2000 | Train MSE: 0.000125
Epoch 50/2000 | Train MSE: 0.000126
Epoch 51/2000 | Train MSE: 0.000101
Epoch 52/2000 | Train MSE: 0.000195
Epoch 53/2000 | Train MSE: 0.000186
Epoch 54/2000 | Train MSE: 0.000124
Epoch 55/2000 | Train MSE: 0.000147
Epoch 56/2000 | Train MSE: 0.000086
Epoch 57/2000 | Train MSE: 0.000093
Epoch 58/2000 | Train MSE: 0.000048
Epoch 59/2000 | Train MSE: 0.000085
Epoch 60/2000 | Train MSE: 0.000111
Epoch 61/2000 | Train MSE: 0.000231
Epoch 62/2000 | Train MSE: 0.000156
Epoch 63/2000 | Train MSE: 0.000168
Epoch 64/2000 | Train MSE: 0.000224
Epoch 65/2000 | Train MSE: 0.000098
