/home/labic/miniconda3/envs/tabs/lib/python3.10/site-packages/torch/nn/modules/conv.py:370: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1025.)
  return F.conv1d(

 === Started run 1 === 

    --- Executing dataset FloodModeling2 --- 

Training H1

Epoch 1/2000 | Train MSE: 0.013146
Epoch 2/2000 | Train MSE: 0.001658
Epoch 3/2000 | Train MSE: 0.000815
Epoch 4/2000 | Train MSE: 0.000741
Epoch 5/2000 | Train MSE: 0.000645
Epoch 6/2000 | Train MSE: 0.001123
Epoch 7/2000 | Train MSE: 0.000585
Epoch 8/2000 | Train MSE: 0.000376
Epoch 9/2000 | Train MSE: 0.000298
Epoch 10/2000 | Train MSE: 0.000322
Epoch 11/2000 | Train MSE: 0.000309
Epoch 12/2000 | Train MSE: 0.000342
Epoch 13/2000 | Train MSE: 0.000266
Epoch 14/2000 | Train MSE: 0.000216
Epoch 15/2000 | Train MSE: 0.000219
Epoch 16/2000 | Train MSE: 0.000366
Epoch 17/2000 | Train MSE: 0.000400
Epoch 18/2000 | Train MSE: 0.000293
Epoch 19/2000 | Train MSE: 0.000158
Epoch 20/2000 | Train MSE: 0.000173
Epoch 21/2000 | Train MSE: 0.000195
Epoch 22/2000 | Train MSE: 0.000187
Epoch 23/2000 | Train MSE: 0.000125
Epoch 24/2000 | Train MSE: 0.000132
Epoch 25/2000 | Train MSE: 0.000227
Epoch 26/2000 | Train MSE: 0.000174
Epoch 27/2000 | Train MSE: 0.000144
Epoch 28/2000 | Train MSE: 0.000122
Epoch 29/2000 | Train MSE: 0.000130
Epoch 30/2000 | Train MSE: 0.000183
Epoch 31/2000 | Train MSE: 0.000176
Epoch 32/2000 | Train MSE: 0.000111
Epoch 33/2000 | Train MSE: 0.000091
Epoch 34/2000 | Train MSE: 0.000081
Epoch 35/2000 | Train MSE: 0.000069
Epoch 36/2000 | Train MSE: 0.000070
Epoch 37/2000 | Train MSE: 0.000087
Epoch 38/2000 | Train MSE: 0.000065
Epoch 39/2000 | Train MSE: 0.000065
Epoch 40/2000 | Train MSE: 0.000074
Epoch 41/2000 | Train MSE: 0.000132
Epoch 42/2000 | Train MSE: 0.000073
Epoch 43/2000 | Train MSE: 0.000083
Epoch 44/2000 | Train MSE: 0.000067
Epoch 45/2000 | Train MSE: 0.000083
Epoch 46/2000 | Train MSE: 0.000059
Epoch 47/2000 | Train MSE: 0.000056
Epoch 48/2000 | Train MSE: 0.000115
Epoch 49/2000 | Train MSE: 0.000078
Epoch 50/2000 | Train MSE: 0.000072
Epoch 51/2000 | Train MSE: 0.000071
Epoch 52/2000 | Train MSE: 0.000049
Epoch 53/2000 | Train MSE: 0.000061
Epoch 54/2000 | Train MSE: 0.000047
Epoch 55/2000 | Train MSE: 0.000083
Epoch 56/2000 | Train MSE: 0.000078
Epoch 57/2000 | Train MSE: 0.000046
Epoch 58/2000 | Train MSE: 0.000045
Epoch 59/2000 | Train MSE: 0.000087
Epoch 60/2000 | Train MSE: 0.000068
Epoch 61/2000 | Train MSE: 0.000105
Epoch 62/2000 | Train MSE: 0.000070
Epoch 63/2000 | Train MSE: 0.000056
Epoch 64/2000 | Train MSE: 0.000035
Epoch 65/2000 | Train MSE: 0.000029
Epoch 66/2000 | Train MSE: 0.000032
Epoch 67/2000 | Train MSE: 0.000030
Epoch 68/2000 | Train MSE: 0.000041
Epoch 69/2000 | Train MSE: 0.000041
Epoch 70/2000 | Train MSE: 0.000104
Epoch 71/2000 | Train MSE: 0.000110
Epoch 72/2000 | Train MSE: 0.000073
Epoch 73/2000 | Train MSE: 0.000033
Epoch 74/2000 | Train MSE: 0.000043
Epoch 75/2000 | Train MSE: 0.000107
Epoch 76/2000 | Train MSE: 0.000140
Epoch 77/2000 | Train MSE: 0.000048
Epoch 78/2000 | Train MSE: 0.000032
Epoch 79/2000 | Train MSE: 0.000033
Epoch 80/2000 | Train MSE: 0.000028
Epoch 81/2000 | Train MSE: 0.000042
Epoch 82/2000 | Train MSE: 0.000059
Epoch 83/2000 | Train MSE: 0.000064
Epoch 84/2000 | Train MSE: 0.000044
Epoch 85/2000 | Train MSE: 0.000119
Epoch 86/2000 | Train MSE: 0.000045
Epoch 87/2000 | Train MSE: 0.000030
Epoch 88/2000 | Train MSE: 0.000109
Epoch 89/2000 | Train MSE: 0.000061
Epoch 90/2000 | Train MSE: 0.000105
Epoch 91/2000 | Train MSE: 0.000074
Epoch 92/2000 | Train MSE: 0.000031
Epoch 93/2000 | Train MSE: 0.000022
Epoch 94/2000 | Train MSE: 0.000021
Epoch 95/2000 | Train MSE: 0.000032
Epoch 96/2000 | Train MSE: 0.000042
Epoch 97/2000 | Train MSE: 0.000058
Epoch 98/2000 | Train MSE: 0.000036
Epoch 99/2000 | Train MSE: 0.000048
Epoch 100/2000 | Train MSE: 0.000057
Epoch 101/2000 | Train MSE: 0.000021
Epoch 102/2000 | Train MSE: 0.000018
Epoch 103/2000 | Train MSE: 0.000023
Epoch 104/2000 | Train MSE: 0.000025
Epoch 105/2000 | Train MSE: 0.000020
Epoch 106/2000 | Train MSE: 0.000033
Epoch 107/2000 | Train MSE: 0.000036
Epoch 108/2000 | Train MSE: 0.000033
Epoch 109/2000 | Train MSE: 0.000049
Epoch 110/2000 | Train MSE: 0.000050
Epoch 111/2000 | Train MSE: 0.000067
Epoch 112/2000 | Train MSE: 0.000040
Epoch 113/2000 | Train MSE: 0.000018
Epoch 114/2000 | Train MSE: 0.000017
Epoch 115/2000 | Train MSE: 0.000023
Epoch 116/2000 | Train MSE: 0.000015
Epoch 117/2000 | Train MSE: 0.000023
Epoch 118/2000 | Train MSE: 0.000045
Epoch 119/2000 | Train MSE: 0.000037
Epoch 120/2000 | Train MSE: 0.000045
Epoch 121/2000 | Train MSE: 0.000040
Epoch 122/2000 | Train MSE: 0.000020
Epoch 123/2000 | Train MSE: 0.000020
Epoch 124/2000 | Train MSE: 0.000020
Epoch 125/2000 | Train MSE: 0.000015
Epoch 126/2000 | Train MSE: 0.000043
Epoch 127/2000 | Train MSE: 0.000062
Epoch 128/2000 | Train MSE: 0.000072
Epoch 129/2000 | Train MSE: 0.000057
Epoch 130/2000 | Train MSE: 0.000081
Epoch 131/2000 | Train MSE: 0.000054
Epoch 132/2000 | Train MSE: 0.000029
Epoch 133/2000 | Train MSE: 0.000025
Epoch 134/2000 | Train MSE: 0.000017
Epoch 135/2000 | Train MSE: 0.000015
Epoch 136/2000 | Train MSE: 0.000016
Epoch 137/2000 | Train MSE: 0.000037
Epoch 138/2000 | Train MSE: 0.000029
Epoch 139/2000 | Train MSE: 0.000034
Epoch 140/2000 | Train MSE: 0.000022
Epoch 141/2000 | Train MSE: 0.000014
Epoch 142/2000 | Train MSE: 0.000013
Epoch 143/2000 | Train MSE: 0.000022
Epoch 144/2000 | Train MSE: 0.000013
Epoch 145/2000 | Train MSE: 0.000019
Epoch 146/2000 | Train MSE: 0.000048
Epoch 147/2000 | Train MSE: 0.000018
Epoch 148/2000 | Train MSE: 0.000022
Epoch 149/2000 | Train MSE: 0.000058
Epoch 150/2000 | Train MSE: 0.000028
Epoch 151/2000 | Train MSE: 0.000068
Epoch 152/2000 | Train MSE: 0.000038
Epoch 153/2000 | Train MSE: 0.000036
Epoch 154/2000 | Train MSE: 0.000059
Epoch 155/2000 | Train MSE: 0.000026
Epoch 156/2000 | Train MSE: 0.000020
Epoch 157/2000 | Train MSE: 0.000011
Epoch 158/2000 | Train MSE: 0.000042
Epoch 159/2000 | Train MSE: 0.000040
Epoch 160/2000 | Train MSE: 0.000023
Epoch 161/2000 | Train MSE: 0.000019
Epoch 162/2000 | Train MSE: 0.000027
Epoch 163/2000 | Train MSE: 0.000032
Epoch 164/2000 | Train MSE: 0.000034
Epoch 165/2000 | Train MSE: 0.000031
Epoch 166/2000 | Train MSE: 0.000028
Epoch 167/2000 | Train MSE: 0.000016
Epoch 168/2000 | Train MSE: 0.000026
Epoch 169/2000 | Train MSE: 0.000035
Epoch 170/2000 | Train MSE: 0.000021
Epoch 171/2000 | Train MSE: 0.000016
Epoch 172/2000 | Train MSE: 0.000028
Epoch 173/2000 | Train MSE: 0.000019
Epoch 174/2000 | Train MSE: 0.000015
Epoch 175/2000 | Train MSE: 0.000009
Epoch 176/2000 | Train MSE: 0.000013
Epoch 177/2000 | Train MSE: 0.000014
Epoch 178/2000 | Train MSE: 0.000016
Epoch 179/2000 | Train MSE: 0.000012
Epoch 180/2000 | Train MSE: 0.000009
Epoch 181/2000 | Train MSE: 0.000023
Epoch 182/2000 | Train MSE: 0.000015
Epoch 183/2000 | Train MSE: 0.000013
Epoch 184/2000 | Train MSE: 0.000012
Epoch 185/2000 | Train MSE: 0.000022
Epoch 186/2000 | Train MSE: 0.000012
Epoch 187/2000 | Train MSE: 0.000031
Epoch 188/2000 | Train MSE: 0.000033
Epoch 189/2000 | Train MSE: 0.000019
Epoch 190/2000 | Train MSE: 0.000019
Epoch 191/2000 | Train MSE: 0.000023
Epoch 192/2000 | Train MSE: 0.000012
Epoch 193/2000 | Train MSE: 0.000015
Epoch 194/2000 | Train MSE: 0.000021
Epoch 195/2000 | Train MSE: 0.000024
Epoch 196/2000 | Train MSE: 0.000014
Epoch 197/2000 | Train MSE: 0.000026
Epoch 198/2000 | Train MSE: 0.000035
Epoch 199/2000 | Train MSE: 0.000025
Epoch 200/2000 | Train MSE: 0.000023
Epoch 201/2000 | Train MSE: 0.000015
Epoch 202/2000 | Train MSE: 0.000025
Epoch 203/2000 | Train MSE: 0.000058
Epoch 204/2000 | Train MSE: 0.000022
Epoch 205/2000 | Train MSE: 0.000019
Epoch 206/2000 | Train MSE: 0.000015
Epoch 207/2000 | Train MSE: 0.000014
Epoch 208/2000 | Train MSE: 0.000012
Epoch 209/2000 | Train MSE: 0.000013
Epoch 210/2000 | Train MSE: 0.000008
Epoch 211/2000 | Train MSE: 0.000011
Epoch 212/2000 | Train MSE: 0.000017
Epoch 213/2000 | Train MSE: 0.000022
Epoch 214/2000 | Train MSE: 0.000016
Epoch 215/2000 | Train MSE: 0.000049
Epoch 216/2000 | Train MSE: 0.000043
Epoch 217/2000 | Train MSE: 0.000043
Epoch 218/2000 | Train MSE: 0.000033
Epoch 219/2000 | Train MSE: 0.000017
Epoch 220/2000 | Train MSE: 0.000022
Epoch 221/2000 | Train MSE: 0.000022
Epoch 222/2000 | Train MSE: 0.000026
Epoch 223/2000 | Train MSE: 0.000023
Epoch 224/2000 | Train MSE: 0.000016
Epoch 225/2000 | Train MSE: 0.000021
Epoch 226/2000 | Train MSE: 0.000032
Epoch 227/2000 | Train MSE: 0.000021
Epoch 228/2000 | Train MSE: 0.000018
Epoch 229/2000 | Train MSE: 0.000023
Epoch 230/2000 | Train MSE: 0.000038
Epoch 231/2000 | Train MSE: 0.000022
Epoch 232/2000 | Train MSE: 0.000026
Epoch 233/2000 | Train MSE: 0.000019
Epoch 234/2000 | Train MSE: 0.000021
Epoch 235/2000 | Train MSE: 0.000020
Epoch 236/2000 | Train MSE: 0.000023
Epoch 237/2000 | Train MSE: 0.000009
Epoch 238/2000 | Train MSE: 0.000008
Epoch 239/2000 | Train MSE: 0.000012
Epoch 240/2000 | Train MSE: 0.000017
Epoch 241/2000 | Train MSE: 0.000028
Epoch 242/2000 | Train MSE: 0.000034
Epoch 243/2000 | Train MSE: 0.000028
Epoch 244/2000 | Train MSE: 0.000015
Epoch 245/2000 | Train MSE: 0.000018
Epoch 246/2000 | Train MSE: 0.000015
Epoch 247/2000 | Train MSE: 0.000011
Epoch 248/2000 | Train MSE: 0.000031
Epoch 249/2000 | Train MSE: 0.000020
Epoch 250/2000 | Train MSE: 0.000010
Epoch 251/2000 | Train MSE: 0.000008
Epoch 252/2000 | Train MSE: 0.000013
Epoch 253/2000 | Train MSE: 0.000009
Epoch 254/2000 | Train MSE: 0.000007
Epoch 255/2000 | Train MSE: 0.000004
Epoch 256/2000 | Train MSE: 0.000004
Epoch 257/2000 | Train MSE: 0.000002
Epoch 258/2000 | Train MSE: 0.000001
Epoch 259/2000 | Train MSE: 0.000003
Epoch 260/2000 | Train MSE: 0.000003
Epoch 261/2000 | Train MSE: 0.000002
Epoch 262/2000 | Train MSE: 0.000001
Epoch 263/2000 | Train MSE: 0.000002
Epoch 264/2000 | Train MSE: 0.000004
Epoch 265/2000 | Train MSE: 0.000002
Epoch 266/2000 | Train MSE: 0.000001
Epoch 267/2000 | Train MSE: 0.000001
Epoch 268/2000 | Train MSE: 0.000001
Epoch 269/2000 | Train MSE: 0.000001
Epoch 270/2000 | Train MSE: 0.000002
Epoch 271/2000 | Train MSE: 0.000001
Epoch 272/2000 | Train MSE: 0.000001
Epoch 273/2000 | Train MSE: 0.000001
Epoch 274/2000 | Train MSE: 0.000001
Epoch 275/2000 | Train MSE: 0.000001
Epoch 276/2000 | Train MSE: 0.000001
Epoch 277/2000 | Train MSE: 0.000001
Epoch 278/2000 | Train MSE: 0.000000
Epoch 279/2000 | Train MSE: 0.000000
Epoch 280/2000 | Train MSE: 0.000000
Epoch 281/2000 | Train MSE: 0.000000
Epoch 282/2000 | Train MSE: 0.000000
Epoch 283/2000 | Train MSE: 0.000000
Epoch 284/2000 | Train MSE: 0.000000
Epoch 285/2000 | Train MSE: 0.000000
Epoch 286/2000 | Train MSE: 0.000000
Epoch 287/2000 | Train MSE: 0.000000
Epoch 288/2000 | Train MSE: 0.000000
Epoch 289/2000 | Train MSE: 0.000001
Epoch 290/2000 | Train MSE: 0.000001
Epoch 291/2000 | Train MSE: 0.000001
Epoch 292/2000 | Train MSE: 0.000001
Epoch 293/2000 | Train MSE: 0.000001
Epoch 294/2000 | Train MSE: 0.000002
Epoch 295/2000 | Train MSE: 0.000002
Epoch 296/2000 | Train MSE: 0.000001
Epoch 297/2000 | Train MSE: 0.000000
Epoch 298/2000 | Train MSE: 0.000001
Epoch 299/2000 | Train MSE: 0.000001
Epoch 300/2000 | Train MSE: 0.000001
Epoch 301/2000 | Train MSE: 0.000001
Epoch 302/2000 | Train MSE: 0.000001
Epoch 303/2000 | Train MSE: 0.000002
Epoch 304/2000 | Train MSE: 0.000003
Epoch 305/2000 | Train MSE: 0.000003
Epoch 306/2000 | Train MSE: 0.000005
Epoch 307/2000 | Train MSE: 0.000005
Epoch 308/2000 | Train MSE: 0.000007
Epoch 309/2000 | Train MSE: 0.000008
Epoch 310/2000 | Train MSE: 0.000007
Epoch 311/2000 | Train MSE: 0.000004
Epoch 312/2000 | Train MSE: 0.000005
Epoch 313/2000 | Train MSE: 0.000007
Epoch 314/2000 | Train MSE: 0.000014
Epoch 315/2000 | Train MSE: 0.000031
Epoch 316/2000 | Train MSE: 0.000082
Epoch 317/2000 | Train MSE: 0.000203
Epoch 318/2000 | Train MSE: 0.000098
Epoch 319/2000 | Train MSE: 0.000040
Epoch 320/2000 | Train MSE: 0.000029
Epoch 321/2000 | Train MSE: 0.000068
Epoch 322/2000 | Train MSE: 0.000039
Epoch 323/2000 | Train MSE: 0.000033
Epoch 324/2000 | Train MSE: 0.000033
Epoch 325/2000 | Train MSE: 0.000033
Epoch 326/2000 | Train MSE: 0.000062
Epoch 327/2000 | Train MSE: 0.000057
Epoch 328/2000 | Train MSE: 0.000026
Epoch 329/2000 | Train MSE: 0.000052
Epoch 330/2000 | Train MSE: 0.000065
Epoch 331/2000 | Train MSE: 0.000032
Epoch 332/2000 | Train MSE: 0.000024
Epoch 333/2000 | Train MSE: 0.000034
Early stopping at epoch 333. Best training loss: 0.000000

Training H2

Epoch 1/2000 | Train MSE: 0.029428
Epoch 2/2000 | Train MSE: 0.004044
Epoch 3/2000 | Train MSE: 0.002002
Epoch 4/2000 | Train MSE: 0.001149
Epoch 5/2000 | Train MSE: 0.000663
Epoch 6/2000 | Train MSE: 0.000524
Epoch 7/2000 | Train MSE: 0.000478
Epoch 8/2000 | Train MSE: 0.000407
Epoch 9/2000 | Train MSE: 0.000387
Epoch 10/2000 | Train MSE: 0.000414
Epoch 11/2000 | Train MSE: 0.000349
Epoch 12/2000 | Train MSE: 0.000286
Epoch 13/2000 | Train MSE: 0.000242
Epoch 14/2000 | Train MSE: 0.000218
Epoch 15/2000 | Train MSE: 0.000213
Epoch 16/2000 | Train MSE: 0.000214
Epoch 17/2000 | Train MSE: 0.000179
Epoch 18/2000 | Train MSE: 0.000178
Epoch 19/2000 | Train MSE: 0.000186
Epoch 20/2000 | Train MSE: 0.000186
Epoch 21/2000 | Train MSE: 0.000196
Epoch 22/2000 | Train MSE: 0.000244
Epoch 23/2000 | Train MSE: 0.000224
Epoch 24/2000 | Train MSE: 0.000223
Epoch 25/2000 | Train MSE: 0.000209
Epoch 26/2000 | Train MSE: 0.000173
Epoch 27/2000 | Train MSE: 0.000216
Epoch 28/2000 | Train MSE: 0.000181
Epoch 29/2000 | Train MSE: 0.000097
Epoch 30/2000 | Train MSE: 0.000108
Epoch 31/2000 | Train MSE: 0.000098
Epoch 32/2000 | Train MSE: 0.000113
Epoch 33/2000 | Train MSE: 0.000079
Epoch 34/2000 | Train MSE: 0.000089
Epoch 35/2000 | Train MSE: 0.000081
Epoch 36/2000 | Train MSE: 0.000083
Epoch 37/2000 | Train MSE: 0.000093
Epoch 38/2000 | Train MSE: 0.000071
Epoch 39/2000 | Train MSE: 0.000098
Epoch 40/2000 | Train MSE: 0.000115
Epoch 41/2000 | Train MSE: 0.000066
Epoch 42/2000 | Train MSE: 0.000066
Epoch 43/2000 | Train MSE: 0.000071
Epoch 44/2000 | Train MSE: 0.000091
Epoch 45/2000 | Train MSE: 0.000057
Epoch 46/2000 | Train MSE: 0.000073
Epoch 47/2000 | Train MSE: 0.000110
Epoch 48/2000 | Train MSE: 0.000093
Epoch 49/2000 | Train MSE: 0.000078
Epoch 50/2000 | Train MSE: 0.000112
Epoch 51/2000 | Train MSE: 0.000101
Epoch 52/2000 | Train MSE: 0.000081
Epoch 53/2000 | Train MSE: 0.000091
Epoch 54/2000 | Train MSE: 0.000103
Epoch 55/2000 | Train MSE: 0.000084
Epoch 56/2000 | Train MSE: 0.000052
Epoch 57/2000 | Train MSE: 0.000050
Epoch 58/2000 | Train MSE: 0.000072
Epoch 59/2000 | Train MSE: 0.000071
Epoch 60/2000 | Train MSE: 0.000085
Epoch 61/2000 | Train MSE: 0.000071
Epoch 62/2000 | Train MSE: 0.000100
Epoch 63/2000 | Train MSE: 0.000096
Epoch 64/2000 | Train MSE: 0.000074
Epoch 65/2000 | Train MSE: 0.000061
Epoch 66/2000 | Train MSE: 0.000052
Epoch 67/2000 | Train MSE: 0.000040
Epoch 68/2000 | Train MSE: 0.000045
Epoch 69/2000 | Train MSE: 0.000038
Epoch 70/2000 | Train MSE: 0.000079
Epoch 71/2000 | Train MSE: 0.000057
Epoch 72/2000 | Train MSE: 0.000108
Epoch 73/2000 | Train MSE: 0.000063
Epoch 74/2000 | Train MSE: 0.000040
Epoch 75/2000 | Train MSE: 0.000042
Epoch 76/2000 | Train MSE: 0.000052
Epoch 77/2000 | Train MSE: 0.000109
Epoch 78/2000 | Train MSE: 0.000067
Epoch 79/2000 | Train MSE: 0.000081
Epoch 80/2000 | Train MSE: 0.000082
Epoch 81/2000 | Train MSE: 0.000049
Epoch 82/2000 | Train MSE: 0.000060
Epoch 83/2000 | Train MSE: 0.000045
Epoch 84/2000 | Train MSE: 0.000036
Epoch 85/2000 | Train MSE: 0.000027
Epoch 86/2000 | Train MSE: 0.000034
Epoch 87/2000 | Train MSE: 0.000033
Epoch 88/2000 | Train MSE: 0.000029
Epoch 89/2000 | Train MSE: 0.000029
Epoch 90/2000 | Train MSE: 0.000034
Epoch 91/2000 | Train MSE: 0.000033
Epoch 92/2000 | Train MSE: 0.000034
Epoch 93/2000 | Train MSE: 0.000110
Epoch 94/2000 | Train MSE: 0.000137
Epoch 95/2000 | Train MSE: 0.000109
Epoch 96/2000 | Train MSE: 0.000079
Epoch 97/2000 | Train MSE: 0.000066
Epoch 98/2000 | Train MSE: 0.000070
Epoch 99/2000 | Train MSE: 0.000070
Epoch 100/2000 | Train MSE: 0.000062
Epoch 101/2000 | Train MSE: 0.000048
Epoch 102/2000 | Train MSE: 0.000035
Epoch 103/2000 | Train MSE: 0.000040
Epoch 104/2000 | Train MSE: 0.000040
Epoch 105/2000 | Train MSE: 0.000046
Epoch 106/2000 | Train MSE: 0.000037
Epoch 107/2000 | Train MSE: 0.000029
Epoch 108/2000 | Train MSE: 0.000031
Epoch 109/2000 | Train MSE: 0.000020
Epoch 110/2000 | Train MSE: 0.000036
Epoch 111/2000 | Train MSE: 0.000053
Epoch 112/2000 | Train MSE: 0.000042
Epoch 113/2000 | Train MSE: 0.000034
Epoch 114/2000 | Train MSE: 0.000022
Epoch 115/2000 | Train MSE: 0.000027
Epoch 116/2000 | Train MSE: 0.000030
Epoch 117/2000 | Train MSE: 0.000023
Epoch 118/2000 | Train MSE: 0.000026
Epoch 119/2000 | Train MSE: 0.000046
Epoch 120/2000 | Train MSE: 0.000056
Epoch 121/2000 | Train MSE: 0.000025
Epoch 122/2000 | Train MSE: 0.000039
Epoch 123/2000 | Train MSE: 0.000059
Epoch 124/2000 | Train MSE: 0.000024
Epoch 125/2000 | Train MSE: 0.000033
Epoch 126/2000 | Train MSE: 0.000060
Epoch 127/2000 | Train MSE: 0.000033
Epoch 128/2000 | Train MSE: 0.000036
Epoch 129/2000 | Train MSE: 0.000017
Epoch 130/2000 | Train MSE: 0.000037
