/home/labic/miniconda3/envs/tabs/lib/python3.10/site-packages/torch/nn/modules/conv.py:370: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1025.)
  return F.conv1d(

 === Started run 1 === 

    --- Executing dataset Covid3Month --- 

Training H1

Epoch 1/2000 | Train MSE: 0.002826
Epoch 2/2000 | Train MSE: 0.001999
Epoch 3/2000 | Train MSE: 0.001698
Epoch 4/2000 | Train MSE: 0.001942
Epoch 5/2000 | Train MSE: 0.001795
Epoch 6/2000 | Train MSE: 0.001703
Epoch 7/2000 | Train MSE: 0.001597
Epoch 8/2000 | Train MSE: 0.001597
Epoch 9/2000 | Train MSE: 0.001590
Epoch 10/2000 | Train MSE: 0.001586
Epoch 11/2000 | Train MSE: 0.001558
Epoch 12/2000 | Train MSE: 0.001548
Epoch 13/2000 | Train MSE: 0.001589
Epoch 14/2000 | Train MSE: 0.001497
Epoch 15/2000 | Train MSE: 0.001453
Epoch 16/2000 | Train MSE: 0.001338
Epoch 17/2000 | Train MSE: 0.001445
Epoch 18/2000 | Train MSE: 0.002175
Epoch 19/2000 | Train MSE: 0.001772
Epoch 20/2000 | Train MSE: 0.001600
Epoch 21/2000 | Train MSE: 0.001627
Epoch 22/2000 | Train MSE: 0.001544
Epoch 23/2000 | Train MSE: 0.001451
Epoch 24/2000 | Train MSE: 0.001381
Epoch 25/2000 | Train MSE: 0.001335
Epoch 26/2000 | Train MSE: 0.001240
Epoch 27/2000 | Train MSE: 0.001209
Epoch 28/2000 | Train MSE: 0.000924
Epoch 29/2000 | Train MSE: 0.000957
Epoch 30/2000 | Train MSE: 0.000837
Epoch 31/2000 | Train MSE: 0.001065
Epoch 32/2000 | Train MSE: 0.000931
Epoch 33/2000 | Train MSE: 0.000886
Epoch 34/2000 | Train MSE: 0.000678
Epoch 35/2000 | Train MSE: 0.000677
Epoch 36/2000 | Train MSE: 0.000715
Epoch 37/2000 | Train MSE: 0.000831
Epoch 38/2000 | Train MSE: 0.000777
Epoch 39/2000 | Train MSE: 0.000706
Epoch 40/2000 | Train MSE: 0.000549
Epoch 41/2000 | Train MSE: 0.000469
Epoch 42/2000 | Train MSE: 0.000449
Epoch 43/2000 | Train MSE: 0.000408
Epoch 44/2000 | Train MSE: 0.000455
Epoch 45/2000 | Train MSE: 0.000333
Epoch 46/2000 | Train MSE: 0.000270
Epoch 47/2000 | Train MSE: 0.000231
Epoch 48/2000 | Train MSE: 0.000209
Epoch 49/2000 | Train MSE: 0.000186
Epoch 50/2000 | Train MSE: 0.000207
Epoch 51/2000 | Train MSE: 0.000191
Epoch 52/2000 | Train MSE: 0.000192
Epoch 53/2000 | Train MSE: 0.000143
Epoch 54/2000 | Train MSE: 0.000111
Epoch 55/2000 | Train MSE: 0.000098
Epoch 56/2000 | Train MSE: 0.000096
Epoch 57/2000 | Train MSE: 0.000064
Epoch 58/2000 | Train MSE: 0.000068
Epoch 59/2000 | Train MSE: 0.000071
Epoch 60/2000 | Train MSE: 0.000070
Epoch 61/2000 | Train MSE: 0.000159
Epoch 62/2000 | Train MSE: 0.000109
Epoch 63/2000 | Train MSE: 0.000136
Epoch 64/2000 | Train MSE: 0.000173
Epoch 65/2000 | Train MSE: 0.000149
Epoch 66/2000 | Train MSE: 0.000109
Epoch 67/2000 | Train MSE: 0.000122
Epoch 68/2000 | Train MSE: 0.000073
Epoch 69/2000 | Train MSE: 0.000054
Epoch 70/2000 | Train MSE: 0.000071
Epoch 71/2000 | Train MSE: 0.000086
Epoch 72/2000 | Train MSE: 0.000062
Epoch 73/2000 | Train MSE: 0.000059
Epoch 74/2000 | Train MSE: 0.000042
Epoch 75/2000 | Train MSE: 0.000056
Epoch 76/2000 | Train MSE: 0.000037
Epoch 77/2000 | Train MSE: 0.000031
Epoch 78/2000 | Train MSE: 0.000032
Epoch 79/2000 | Train MSE: 0.000019
Epoch 80/2000 | Train MSE: 0.000036
Epoch 81/2000 | Train MSE: 0.000027
Epoch 82/2000 | Train MSE: 0.000025
Epoch 83/2000 | Train MSE: 0.000018
Epoch 84/2000 | Train MSE: 0.000010
Epoch 85/2000 | Train MSE: 0.000012
Epoch 86/2000 | Train MSE: 0.000011
Epoch 87/2000 | Train MSE: 0.000009
Epoch 88/2000 | Train MSE: 0.000008
Epoch 89/2000 | Train MSE: 0.000005
Epoch 90/2000 | Train MSE: 0.000005
Epoch 91/2000 | Train MSE: 0.000008
Epoch 92/2000 | Train MSE: 0.000009
Epoch 93/2000 | Train MSE: 0.000006
Epoch 94/2000 | Train MSE: 0.000004
Epoch 95/2000 | Train MSE: 0.000003
Epoch 96/2000 | Train MSE: 0.000002
