model,dataset,mse,mae,rmse,r2,time,run
c22,SierraNevadaMountainsSnow,2868.4673126144453,30.44046851945152,53.558074205617636,0.6485217027006165,0.8666188716888428,20260209_173714_run1
c22,SierraNevadaMountainsSnow,2892.4066618629645,30.505155596531733,53.78109948544158,0.6455883725297191,0.832512378692627,20260209_175320_run2
c22,SierraNevadaMountainsSnow,2890.602930561703,30.60531340997398,53.764327677017434,0.645809386868549,0.8581576347351074,20260209_180841_run3
c22,SierraNevadaMountainsSnow,2919.88932303457,30.67892317673544,54.03600025015333,0.6422208741756773,0.851769208908081,20260209_182404_run4
c22,SierraNevadaMountainsSnow,2887.2824872638753,30.462286492633126,53.73343919072997,0.6462162465707557,0.8688571453094482,20260209_183924_run5
c22,Covid19Andalusia,0.00017216337088923629,0.00887335679045269,0.013121104027071666,0.8185416954497968,0.40824174880981445,20260209_172832_run1
c22,Covid19Andalusia,0.00016219119322725492,0.00872542346228897,0.012735430625905625,0.8290522613260931,0.384995698928833,20260209_174640_run2
c22,Covid19Andalusia,0.0001787158656302317,0.008884216478665588,0.013368465343121165,0.8116354378635643,0.3761107921600342,20260209_180205_run3
c22,Covid19Andalusia,0.00016414462745629826,0.008737737397672312,0.012811893983962647,0.8269933630748467,0.3948945999145508,20260209_181727_run4
c22,Covid19Andalusia,0.0001635530142095584,0.008674345401965924,0.012788784704167883,0.8276169169478242,0.3749222755432129,20260209_183248_run5
c22,BinanceCoinSentiment,0.13175642062805284,0.28295832558161094,0.3629826726278444,-0.007741595066637297,0.44907116889953613,20260209_183235_run5
c22,BinanceCoinSentiment,0.13188033000074473,0.28342735154960724,0.3631533147318701,-0.008689318360007192,0.45494914054870605,20260209_181714_run4
c22,BinanceCoinSentiment,0.13154379437161923,0.28315596971572193,0.3626896667560564,-0.006115318929276636,0.4497954845428467,20260209_180152_run3
c22,BinanceCoinSentiment,0.13194987183180734,0.2833945754081387,0.36324904931989477,-0.009221210433462135,0.44297170639038086,20260209_174626_run2
c22,BinanceCoinSentiment,0.13209011260024214,0.2839412767549104,0.36344203471838826,-0.010293844730919766,2.677687168121338,20260209_172757_run1
c22,WaveDataTension,237.7802146823989,12.517628660180382,15.420123692188689,0.31772882528795554,2.570615291595459,20260209_184750_run5
c22,WaveDataTension,238.45836965420312,12.528850932005481,15.442097320448513,0.3157829712568804,2.611893653869629,20260209_183229_run4
c22,WaveDataTension,236.94788608747658,12.490125603892544,15.393111644091865,0.32011705514535804,2.562880754470825,20260209_181709_run3
c22,WaveDataTension,237.40406601004997,12.497237880434193,15.407922183411038,0.3188081219691058,2.571439027786255,20260209_180147_run2
c22,WaveDataTension,237.11183296327874,12.482386332661058,15.39843605575835,0.3196466365796531,2.56904935836792,20260209_174613_run1
c22,ZincConcentration,4.347540958293429,0.8947038067563042,2.085075767998235,0.013894182836646785,0.5011744499206543,20260209_184754_run5
c22,ZincConcentration,4.3394887932504576,0.8936448721101773,2.0831439684406012,0.015720568571894744,0.5013854503631592,20260209_183234_run4
c22,ZincConcentration,4.324715160032086,0.8924348738695317,2.079594950953691,0.019071512426600434,0.5052535533905029,20260209_181713_run3
c22,ZincConcentration,4.3414338321635855,0.8929442664081516,2.08361076791314,0.015279396377027799,0.5012733936309814,20260209_180151_run2
c22,ZincConcentration,4.339318626928372,0.8950462182768977,2.0831031244104006,0.015759165563091426,0.5217609405517578,20260209_174626_run1
c22,WindTurbinePower,257558.76701010083,352.75350116497793,507.50247980684867,0.6870369734705246,0.6266651153564453,20260209_184751_run5
c22,WindTurbinePower,269959.0249922498,360.8247145084747,519.575812555059,0.6719692578074525,0.6414644718170166,20260209_183230_run4
c22,WindTurbinePower,268861.4265134112,360.42337159520036,518.5184919686194,0.6733029640751098,0.6286845207214355,20260209_181710_run3
c22,WindTurbinePower,268435.961565475,359.29342972804966,518.108059738,0.6738199520982087,0.6258447170257568,20260209_180148_run2
c22,WindTurbinePower,258179.82712178066,352.38920848031637,508.11399028346057,0.6862823152056773,0.6490542888641357,20260209_174617_run1
c22,TetuanEnergyConsumption,3317573.091015561,1395.295430953567,1821.420624407103,0.3132191505604348,0.9717121124267578,20260209_183934_run5
c22,TetuanEnergyConsumption,3326520.2254564776,1406.1252861082385,1823.875057523535,0.31136697717259787,1.0796709060668945,20260209_182414_run4
c22,TetuanEnergyConsumption,3248268.089882361,1382.5155656789457,1802.2952282804172,0.32756618866415266,0.983283281326294,20260209_180852_run3
c22,TetuanEnergyConsumption,3277428.1460331418,1392.772232164425,1810.366853992069,0.3215296771590487,0.9598777294158936,20260209_175331_run2
c22,TetuanEnergyConsumption,3252177.6132471417,1402.99875988791,1803.3794978448495,0.32675686639642654,1.033048391342163,20260209_173742_run1
c22,SulphurConcentration,95108.76797101654,40.569390947571605,308.3970946215553,-0.013370177214570234,0.5017175674438477,20260209_183932_run5
c22,SulphurConcentration,95100.33371876569,40.68619887031435,308.3834199803318,-0.013280311475790674,0.5015223026275635,20260209_182412_run4
c22,SulphurConcentration,95192.38100477698,40.992448474764196,308.53262551110697,-0.014261062005182623,0.5069921016693115,20260209_180850_run3
c22,SulphurConcentration,95149.94400964903,40.850227072590926,308.463845547009,-0.013808901955266073,0.5046195983886719,20260209_175329_run2
c22,SulphurConcentration,95146.63515263482,40.6100909834657,308.4584820565562,-0.013773646561989539,0.5467493534088135,20260209_173738_run1
c22,SodiumConcentration,3279.625883012286,33.66979716680141,57.26801797698508,-0.6106333961678665,0.4925253391265869,20260209_183926_run5
c22,SodiumConcentration,3127.8970036140045,33.056037953161024,55.92760502304747,-0.5361189213346762,0.4886178970336914,20260209_182406_run4
c22,SodiumConcentration,3287.539233600676,33.4441191962904,57.33706683813427,-0.6145196646594235,0.49347877502441406,20260209_180844_run3
c22,SodiumConcentration,3320.2938909966333,33.992379843173005,57.6219913834695,-0.6306055680410343,0.48659181594848633,20260209_175323_run2
c22,SodiumConcentration,3168.2303541311303,33.256520304745536,56.28703540009129,-0.5559267419945619,0.5064091682434082,20260209_173720_run1
c22,SteamPredictor,940688239.7508287,9098.42189895801,30670.64133256474,0.054847335986524914,0.7524302005767822,20260209_183929_run5
c22,SteamPredictor,937915592.2825897,8968.71255640252,30625.4076263907,0.057633142197592746,0.7446372509002686,20260209_182409_run4
c22,SteamPredictor,945804152.9223046,9002.504988919614,30753.929064792756,0.04970714313776259,0.7520542144775391,20260209_180847_run3
c22,SteamPredictor,923038973.0650944,8944.46637883099,30381.556462187622,0.07258036455114769,0.7331326007843018,20260209_175326_run2
c22,SteamPredictor,944231252.0952479,9048.796784457994,30728.34606833319,0.05128750881482835,0.7468175888061523,20260209_173729_run1
c22,PrecipitationAndalusia,0.1940422998100085,0.27177491298246664,0.44050232667944955,0.5590722656467908,1.2889633178710938,20260209_183923_run5
c22,PrecipitationAndalusia,0.18782091662676778,0.2704109709167819,0.4333831060698695,0.5732092883177002,1.2638142108917236,20260209_182402_run4
c22,PrecipitationAndalusia,0.19094679573815113,0.27061236829644164,0.4369745939275545,0.5661062659571439,1.2665512561798096,20260209_180840_run3
c22,PrecipitationAndalusia,0.1940631262788975,0.2739057740522014,0.44052596549908096,0.5590249410801846,1.255624532699585,20260209_175319_run2
c22,PrecipitationAndalusia,0.18889906728530886,0.27127695736668067,0.43462520323297965,0.5707593764808101,1.3433043956756592,20260209_173710_run1
c22,PotassiumConcentration,25819.136042526356,58.02205170460061,160.68334089919327,0.5760778224728726,1.353738784790039,20260209_183919_run5
c22,PotassiumConcentration,22773.27664063904,56.45423365044701,150.90817287555714,0.6260875264367394,1.355104923248291,20260209_182359_run4
c22,PotassiumConcentration,25502.706575280536,58.02363426422896,159.6956686177823,0.5812732507229756,1.3578770160675049,20260209_180837_run3
c22,PotassiumConcentration,24792.59901173097,57.184761312282326,157.45665756560112,0.592932445830147,1.3427345752716064,20260209_175316_run2
c22,PotassiumConcentration,26066.933131584963,58.486043949851364,161.45257239073325,0.5720092633465879,1.3936963081359863,20260209_173703_run1
c22,SolarRadiationAndalusia,0.4183285953697778,0.5067809874899134,0.6467832676946565,0.3137620441325705,0.7595677375793457,20260209_183928_run5
c22,SolarRadiationAndalusia,0.42895392832878804,0.5104295681470733,0.6549457445688063,0.2963319500608116,0.7571399211883545,20260209_182408_run4
c22,SolarRadiationAndalusia,0.42191567693092147,0.5072037970020631,0.6495503651995905,0.30787769497428963,0.764836311340332,20260209_180846_run3
c22,SolarRadiationAndalusia,0.4228913844603212,0.5071516096595144,0.6503009952785873,0.3062771169886803,0.7453629970550537,20260209_175324_run2
c22,SolarRadiationAndalusia,0.4236869054511682,0.5068590400970688,0.6509123638794766,0.30497212205252033,0.764296293258667,20260209_173725_run1
c22,LPGasMonitoringHomeActivity,1.7216707663935906,0.9388553722861865,1.3121245239662243,0.0009659639903195627,1.7918365001678467,20260209_183806_run5
c22,LPGasMonitoringHomeActivity,1.7214687645478615,0.9394944052880576,1.3120475466033468,0.0010831796178131237,1.7918102741241455,20260209_180723_run3
c22,LPGasMonitoringHomeActivity,1.7218331023594462,0.9391602552441406,1.3121863824775222,0.0008717652861748304,1.7807774543762207,20260209_175202_run2
c22,LPGasMonitoringHomeActivity,1.7221672155610972,0.9392972780615798,1.3123136879424435,0.0006778893914074491,1.7946875095367432,20260209_182246_run4
c22,LPGasMonitoringHomeActivity,1.7216676296952875,0.9389968631498515,1.3121233286910523,0.0009677841224996486,1.8151028156280518,20260209_173447_run1
c22,ElectricityPredictor,213640.99734500382,194.51864087935164,462.2131514193466,0.19106372609106315,1.4370765686035156,20260209_183442_run5
c22,ElectricityPredictor,213451.53251614052,195.0821728529059,462.008152001824,0.1917811210414807,1.4340944290161133,20260209_181922_run4
c22,ElectricityPredictor,215771.65057094823,195.49961156940446,464.5122717118981,0.1829961608624464,1.4601757526397705,20260209_180400_run3
c22,ElectricityPredictor,210161.52359397383,191.89535487994974,458.43377230956037,0.2042385032466706,1.4665296077728271,20260209_174837_run2
c22,ElectricityPredictor,213223.69771318304,193.7296704407301,461.7615160590833,0.19264380113969037,1.4955332279205322,20260209_173043_run1
c22,MadridPM10Quality,96.0741971052726,7.493544539646762,9.8017445949827,0.43816556439781884,12.429281949996948,20260209_183828_run5
c22,MadridPM10Quality,96.95448972298605,7.529619235176087,9.846547096469202,0.4330176816057735,12.477067947387695,20260209_182308_run4
c22,MadridPM10Quality,96.71231700345639,7.532764421321262,9.834242065530846,0.43443388884241696,12.473685026168823,20260209_180745_run3
c22,MadridPM10Quality,96.18923027915952,7.511205378899342,9.807610834406079,0.43749285933992,12.427682638168335,20260209_175224_run2
c22,MadridPM10Quality,96.7484940648233,7.528610330227225,9.836081235167962,0.43422232820004636,12.912348508834839,20260209_173519_run1
c22,DhakaHourlyAirQuality,2314.6873368306647,37.18639099399569,48.11119762415674,0.4340068901289088,1.2675843238830566,20260209_183440_run5
c22,DhakaHourlyAirQuality,2321.2507381599326,37.22467016034784,48.17936008458324,0.4324019908966994,1.2633919715881348,20260209_181919_run4
c22,DhakaHourlyAirQuality,2320.5084595397257,37.243834294366756,48.17165618431367,0.4325834947127686,1.2694473266601562,20260209_180357_run3
c22,DhakaHourlyAirQuality,2325.1047639584617,37.30252966724668,48.2193401443701,0.43145959491408703,1.2668638229370117,20260209_174834_run2
c22,DhakaHourlyAirQuality,2316.0306594701965,37.15104125714469,48.12515620203426,0.43367841753297287,1.3265228271484375,20260209_173038_run1
c22,ChilledWaterPredictor,294060.5085081266,368.5563251553137,542.2734628470461,-0.13676944607411068,0.9758651256561279,20260209_183244_run5
c22,ChilledWaterPredictor,286031.6773862102,362.90420547731395,534.819294141685,-0.1057318546838637,0.9839081764221191,20260209_181723_run4
c22,ChilledWaterPredictor,316550.89736645203,378.9065501616384,562.6285607454105,-0.22371205191457988,0.9777953624725342,20260209_180201_run3
c22,ChilledWaterPredictor,274607.72511865175,357.30029401084767,524.0302711854075,-0.061569515588913104,0.9606854915618896,20260209_174636_run2
c22,ChilledWaterPredictor,289668.2749739129,368.6388552184453,538.2083936301188,-0.11979009407935526,1.0103962421417236,20260209_172822_run1
c22,NaturalGasPricesSentiment,0.008214006290707258,0.0730174228925403,0.09063115518797749,-0.010247300183339858,0.3930835723876953,20260209_183849_run5
c22,NaturalGasPricesSentiment,0.008078713975303882,0.07226006285991374,0.08988166651383296,0.006392411491393357,0.383312463760376,20260209_182329_run4
