model,dataset,mse,mae,rmse,r2,time,run
raw,BIDMC32RR,14.037482015961519,2.772286257988695,3.746662783859994,-0.15816259294813229,106.00514125823975,20260209_131216_run1
raw,BIDMC32RR,14.14471539707246,2.7905955236247113,3.7609460773949497,-0.16700988412021167,118.75449657440186,20260209_132031_run2
raw,BIDMC32RR,14.050599045167626,2.764877043760614,3.748412870158199,-0.15924481357287434,106.07346439361572,20260209_132926_run3
raw,BIDMC32RR,14.121033956402735,2.7763515314914535,3.7577964229589043,-0.16505604662288786,112.4264748096466,20260209_133744_run4
raw,BIDMC32RR,14.106280082230901,2.7860137303329506,3.7558328080774444,-0.1638387780880144,89.8091459274292,20260209_134414_run5
raw,Covid3Month,0.0019440478526639752,0.032610110897917224,0.04409135802698728,0.0237300896476752,0.56695556640625,20260209_133910_run5
raw,Covid3Month,0.0019410925877369934,0.03277089549592967,0.04405783230864852,0.025214176688731493,0.6941895484924316,20260209_133116_run4
raw,Covid3Month,0.0019526940523564855,0.03275140880773007,0.04418929793916719,0.019388105685125834,3.02095627784729,20260209_132239_run3
raw,Covid3Month,0.0019549507918880265,0.032921760409256456,0.04421482547616836,0.018254806987191508,2.526740789413452,20260209_131422_run2
raw,Covid3Month,0.0019688390256021584,0.03297500433459339,0.04437160156679223,0.011280356916701706,2.3855676651000977,20260209_130552_run1
raw,AppliancesEnergy,4.69590628879243,1.765561664217994,2.1670039891039496,0.6027916205546646,2.463019847869873,20260209_134417_run5
raw,AppliancesEnergy,4.187906540021196,1.6851136262076238,2.046437524094297,0.6457613359958874,2.6288201808929443,20260209_133747_run4
raw,AppliancesEnergy,4.3917265163853,1.6993935848417734,2.0956446541303944,0.6285209999390553,2.6330156326293945,20260209_132928_run3
raw,AppliancesEnergy,4.364596666250721,1.6876561419169107,2.0891617137624174,0.6308158080429288,7.484516859054565,20260209_132039_run2
raw,AppliancesEnergy,4.3474077935351225,1.6958002708071753,2.085043834919334,0.6322697476779999,2.8618454933166504,20260209_131219_run1
raw,BIDMC32SpO2,26.433481042655682,3.715440288494977,5.14135011866102,-0.20280306133082426,91.2778422832489,20260209_134052_run5
raw,BIDMC32SpO2,26.23052887925853,3.709731825399392,5.121574843664645,-0.1935681261724964,125.74975848197937,20260209_133339_run4
raw,BIDMC32SpO2,26.02558890900911,3.7030035549072515,5.101528095483657,-0.18424273981088657,107.5285131931305,20260209_132446_run3
