dataset,n_samples,n_features,time_seconds
ACSF1,200,22,0.8692
Adiac,781,22,0.3325
ArrowHead,211,22,0.1137
ArticularyWordRecognition,575,198,1.8309
AtrialFibrillation,30,44,0.0819
BME,180,22,0.0703
BasicMotions,80,132,0.156
Beef,60,22,0.0589
BeetleFly,40,22,0.0362
BirdChicken,40,22,0.0445
CBF,930,22,0.3526
Car,120,22,0.1351
Chinatown,363,22,0.067
ChlorineConcentration,4307,22,1.9859
CinCECGTorso,1420,22,3.7036
Coffee,56,22,0.045
Computers,500,22,0.5748
Cricket,180,132,2.1137
CricketX,780,22,0.5427
CricketY,780,22,0.5286
CricketZ,780,22,0.5427
DiatomSizeReduction,322,22,0.2189
DistalPhalanxOutlineAgeGroup,539,22,0.147
DistalPhalanxOutlineCorrect,876,22,0.2486
DistalPhalanxTW,539,22,0.1461
ECG200,200,22,0.0692
ECG5000,5000,22,2.1667
ECGFiveDays,884,22,0.4428
EOGHorizontalSignal,724,22,1.4233
EOGVerticalSignal,724,22,1.4275
ERing,300,88,0.2469
Earthquakes,461,22,0.3788
ElectricDevices,16637,22,4.9371
Epilepsy,275,66,0.3766
EthanolConcentration,524,66,3.5002
EthanolLevel,1004,22,2.2909
FaceAll,2250,22,0.9768
FiftyWords,905,22,0.543
FingerMovements,416,616,2.2356
Fish,350,22,0.2721
FordA,4921,22,4.1622
FordB,4446,22,3.7889
FreezerRegularTrain,3000,22,1.7216
FreezerSmallTrain,2878,22,1.6537
Fungi,204,22,0.1033
GunPoint,200,22,0.0793
GunPointAgeSpan,451,22,0.171
GunPointMaleVersusFemale,451,22,0.169
GunPointOldVersusYoung,451,22,0.1839
Ham,214,22,0.1662
HandMovementDirection,234,220,1.6968
HandOutlines,1370,22,5.5887
Handwriting,1000,66,1.3225
Haptics,463,22,1.011
Plane,210,22,0.0969
Heartbeat,409,1342,19.5092
Herring,128,22,0.1172
HouseTwenty,159,22,0.4266
InlineSkate,650,22,1.6202
InsectEPGRegularTrain,311,22,0.343
InsectEPGSmallTrain,266,22,0.2929
InsectWingbeatSound,2200,22,1.133
ItalyPowerDemand,1096,22,0.1996
LSST,4925,132,5.4579
LargeKitchenAppliances,750,22,0.9304
Libras,360,44,0.1471
Lightning2,121,22,0.1604
Lightning7,143,22,0.1079
Mallat,2400,22,3.2879
Meat,120,22,0.0913
MedicalImages,1141,22,0.3599
MiddlePhalanxOutlineAgeGroup,554,22,0.1549
FaceFour,112,22,0.0923
FacesUCR,2250,22,0.9848
EigenWorms,259,132,70.9425
MiddlePhalanxOutlineCorrect,891,22,0.2477
MiddlePhalanxTW,553,22,0.1578
MixedShapesRegularTrain,2925,22,4.0571
MixedShapesSmallTrain,2525,22,3.4853
MoteStrain,1272,22,0.3756
MotorImagery,378,1408,111.8385
NATOPS,360,528,1.5573
NonInvasiveFetalECGThorax1,3765,22,4.8684
NonInvasiveFetalECGThorax2,3765,22,4.8088
OSULeaf,442,22,0.342
OliveOil,60,22,0.076
PhalangesOutlinesCorrect,2658,22,0.7129
Phoneme,2110,22,3.4181
PhonemeSpectra,6668,242,31.7534
PigAirwayPressure,312,22,0.8173
PowerCons,360,22,0.1537
ProximalPhalanxOutlineAgeGroup,605,22,0.1716
ProximalPhalanxOutlineCorrect,891,22,0.2456
ProximalPhalanxTW,605,22,0.1643
RacketSports,303,132,0.3102
RefrigerationDevices,750,22,0.8251
Rock,70,22,0.2968
ScreenType,750,22,0.8177
SelfRegulationSCP1,561,132,4.5742
SelfRegulationSCP2,380,154,5.4079
PigArtPressure,312,22,0.8372
PigCVP,312,22,0.8876
SemgHandGenderCh2,900,22,2.717
SemgHandMovementCh2,900,22,2.7205
SemgHandSubjectCh2,900,22,2.7119
ShapeletSim,200,22,0.1767
ShapesAll,1200,22,0.9794
SmallKitchenAppliances,750,22,1.1604
SmoothSubspace,300,22,0.0558
SonyAIBORobotSurface1,621,22,0.1806
SonyAIBORobotSurface2,980,22,0.2793
StandWalkJump,27,88,0.4658
StarLightCurves,9236,22,12.3483
Strawberry,983,22,0.475
SwedishLeaf,1125,22,0.3967
Symbols,1020,22,0.6928
SyntheticControl,600,22,0.1486
ToeSegmentation1,268,22,0.1712
ToeSegmentation2,166,22,0.1253
Trace,200,22,0.1282
TwoLeadECG,1162,22,0.3408
TwoPatterns,5000,22,1.6077
UMD,180,22,0.0705
UWaveGestureLibrary,440,66,0.7828
UWaveGestureLibraryAll,4478,22,5.9959
UWaveGestureLibraryX,4478,22,2.7685
UWaveGestureLibraryY,4478,22,2.7346
UWaveGestureLibraryZ,4478,22,2.7589
Wafer,7164,22,2.7413
Wine,111,22,0.0587
WordSynonyms,905,22,0.5535
Worms,258,22,0.3451
WormsTwoClass,258,22,0.3485
Yoga,3300,22,2.3439
