dataset,n_samples,n_features,time_seconds
ACSF1,200,49728,3.5136
Adiac,781,49728,2.1286
ArrowHead,211,49728,0.9811
ArticularyWordRecognition,575,49728,3.7377
AtrialFibrillation,30,49728,0.7083
BME,180,49728,0.4845
BasicMotions,80,49728,0.348
Beef,60,49728,0.5184
BeetleFly,40,49728,0.3849
BirdChicken,40,49728,0.4197
CBF,930,49728,3.1908
Car,120,49728,1.1846
Chinatown,363,49728,0.2589
CinCECGTorso,1420,49728,40.7702
Coffee,56,49728,0.331
Computers,500,49728,5.8381
Cricket,180,49728,6.9835
CricketX,780,49728,5.2152
CricketY,780,49728,5.1928
CricketZ,780,49728,5.2358
DiatomSizeReduction,322,49728,1.7958
DistalPhalanxOutlineAgeGroup,539,49728,0.8917
DistalPhalanxOutlineCorrect,876,49728,1.449
DistalPhalanxTW,539,49728,0.892
ECG200,200,49728,0.4486
ECG5000,5000,49728,14.6605
ECGFiveDays,884,49728,2.5819
EOGHorizontalSignal,724,49728,16.271
EOGVerticalSignal,724,49728,16.8963
ERing,300,49728,0.6563
Earthquakes,461,49728,5.998
ElectricDevices,16637,49728,29.351
Epilepsy,275,49728,1.8856
EthanolConcentration,524,49728,23.6505
EthanolLevel,1004,49728,28.1582
FaceAll,2250,49728,6.4047
FiftyWords,905,49728,3.2495
FingerMovements,416,49728,0.8531
Fish,350,49728,2.3588
FordA,4921,49728,37.1135
FordB,4446,49728,33.9832
FreezerRegularTrain,3000,49728,19.9956
FreezerSmallTrain,2878,49728,19.2557
Fungi,204,49728,0.6923
GunPoint,200,49728,0.502
GunPointAgeSpan,451,49728,1.076
GunPointMaleVersusFemale,451,49728,1.0728
GunPointOldVersusYoung,451,49728,1.0639
Ham,214,49728,1.4585
HandMovementDirection,234,49728,4.0758
HandOutlines,1370,49728,61.1747
Handwriting,1000,49728,5.0126
Haptics,463,49728,7.2312
Plane,210,49728,0.5807
Heartbeat,409,49728,9.8533
Herring,128,49728,1.0792
HouseTwenty,159,49728,7.0483
InlineSkate,650,49728,24.4193
InsectEPGRegularTrain,311,49728,4.2092
InsectEPGSmallTrain,266,49728,3.7207
InsectWingbeatSound,2200,49728,8.5402
ItalyPowerDemand,1096,49728,0.7539
LSST,4925,49728,6.1068
LargeKitchenAppliances,750,49728,6.5896
Libras,360,49728,0.4935
Lightning2,121,49728,1.771
Lightning7,143,49728,1.0452
Mallat,2400,49728,30.8797
Meat,120,49728,0.8501
MedicalImages,1141,49728,1.943
MiddlePhalanxOutlineAgeGroup,554,49728,0.8965
FaceFour,112,49728,0.874
FacesUCR,2250,49728,6.6171
EigenWorms,259,49728,170.5082
MiddlePhalanxOutlineCorrect,891,49728,1.4268
MiddlePhalanxTW,553,49728,0.8981
MixedShapesRegularTrain,2925,49728,46.4017
MixedShapesSmallTrain,2525,49728,39.9617
MoteStrain,1272,49728,2.3523
MotorImagery,378,49728,68.1503
NATOPS,360,49728,0.7193
NonInvasiveFetalECGThorax1,3765,49728,44.871
NonInvasiveFetalECGThorax2,3765,49728,43.7722
OSULeaf,442,49728,3.1069
OliveOil,60,49728,0.5411
PhalangesOutlinesCorrect,2658,49728,4.205
Phoneme,2110,49728,39.8267
PhonemeSpectra,6668,49728,56.7224
PigAirwayPressure,312,49728,12.2833
PowerCons,360,49728,1.1508
ProximalPhalanxOutlineAgeGroup,605,49728,0.9632
ProximalPhalanxOutlineCorrect,891,49728,1.3912
ProximalPhalanxTW,605,49728,0.9578
RacketSports,303,49728,0.3657
RefrigerationDevices,750,49728,10.9485
Rock,70,49728,3.4538
ScreenType,750,49728,8.3626
SelfRegulationSCP1,561,49728,17.1086
SelfRegulationSCP2,380,49728,15.4567
PigArtPressure,312,49728,9.6049
ChlorineConcentration,4307,49728,18.7284
PigCVP,312,49728,12.3423
SemgHandGenderCh2,900,49728,35.2594
SemgHandMovementCh2,900,49728,35.1893
SemgHandSubjectCh2,900,49728,34.8457
ShapeletSim,200,49728,2.8065
ShapesAll,1200,49728,10.2993
SmallKitchenAppliances,750,49728,7.2304
SmoothSubspace,300,49728,0.1573
SonyAIBORobotSurface1,621,49728,1.0962
SonyAIBORobotSurface2,980,49728,1.663
StandWalkJump,27,49728,2.4648
StarLightCurves,9236,49728,103.1983
Strawberry,983,49728,3.7439
SwedishLeaf,1125,49728,2.7826
Symbols,1020,49728,6.2772
SyntheticControl,600,49728,1.007
ToeSegmentation1,268,49728,1.5358
ToeSegmentation2,166,49728,1.0939
Trace,200,49728,1.2681
TwoLeadECG,1162,49728,2.0353
TwoPatterns,5000,49728,16.2533
UMD,180,49728,0.5666
UWaveGestureLibrary,440,49728,3.8466
UWaveGestureLibraryAll,4478,49728,70.5648
UWaveGestureLibraryX,4478,49728,19.9082
UWaveGestureLibraryY,4478,49728,20.666
UWaveGestureLibraryZ,4478,49728,19.9645
Wafer,7164,49728,21.5988
Wine,111,49728,0.4388
WordSynonyms,905,49728,3.293
Worms,258,49728,4.3891
WormsTwoClass,258,49728,4.4139
Yoga,3300,49728,22.4237
