dataset,n_samples,n_features,time_seconds
ACSF1,200,777,64.3123
Adiac,781,777,8.0149
ArrowHead,211,777,2.4686
ArticularyWordRecognition,575,6993,50.2131
AtrialFibrillation,30,1554,6.024
BME,180,777,1.9836
BasicMotions,80,4662,4.7063
Beef,60,777,1.6359
BeetleFly,40,777,2.0013
BirdChicken,40,777,1.9899
CBF,930,777,9.3055
Car,120,777,7.6101
Chinatown,363,777,3.4076
ChlorineConcentration,4307,777,43.2851
CinCECGTorso,1420,777,560.0687
Coffee,56,777,0.9056
Computers,500,777,59.1223
Cricket,180,4662,299.6145
CricketX,780,777,9.1262
CricketY,780,777,9.0217
CricketZ,780,777,9.0343
DiatomSizeReduction,322,777,4.043
DistalPhalanxOutlineAgeGroup,539,777,5.0015
DistalPhalanxOutlineCorrect,876,777,8.0076
DistalPhalanxTW,539,777,5.0774
ECG200,200,777,2.2095
ECG5000,5000,777,48.7642
ECGFiveDays,884,777,8.8108
EOGHorizontalSignal,724,777,194.9695
EOGVerticalSignal,724,777,195.0974
ERing,300,3108,10.0245
Earthquakes,461,777,18.3268
ElectricDevices,16637,777,141.6396
Epilepsy,275,2331,8.1537
EthanolConcentration,524,2331,636.3578
EthanolLevel,1004,777,406.996
FaceAll,2250,777,22.0455
FiftyWords,905,777,10.2475
FingerMovements,416,21756,101.4839
Fish,350,777,7.8848
FordA,4921,777,139.2675
FordB,4446,777,126.0414
FreezerRegularTrain,3000,777,34.504
FreezerSmallTrain,2878,777,33.0365
Fungi,204,777,2.4024
GunPoint,200,777,2.5944
GunPointAgeSpan,451,777,4.8537
GunPointMaleVersusFemale,451,777,4.9549
GunPointOldVersusYoung,451,777,4.9653
Ham,214,777,3.1632
HandMovementDirection,234,7770,28.5496
HandOutlines,1370,777,850.1929
Handwriting,1000,2331,27.55
Haptics,463,777,110.6169
Plane,210,777,2.5688
Heartbeat,409,47397,295.983
Herring,128,777,5.5632
HouseTwenty,159,777,73.7633
InlineSkate,650,777,265.027
InsectEPGRegularTrain,311,777,19.8209
InsectEPGSmallTrain,266,777,17.444
InsectWingbeatSound,2200,777,24.2354
ItalyPowerDemand,1096,777,9.0429
LSST,4925,4662,253.4906
LargeKitchenAppliances,750,777,92.1753
Libras,360,1554,6.2626
Lightning2,121,777,11.8053
Lightning7,143,777,1.898
Mallat,2400,777,514.8303
Meat,120,777,1.7465
MedicalImages,1141,777,10.9769
MiddlePhalanxOutlineAgeGroup,554,777,5.1489
FaceFour,112,777,1.7023
FacesUCR,2250,777,22.3189
EigenWorms,259,4662,120215.349
MiddlePhalanxOutlineCorrect,891,777,8.2363
MiddlePhalanxTW,553,777,5.1605
MixedShapesRegularTrain,2925,777,630.698
MixedShapesSmallTrain,2525,777,541.3473
MoteStrain,1272,777,11.774
MotorImagery,378,49728,17206.0916
NATOPS,360,18648,75.9325
NonInvasiveFetalECGThorax1,3765,777,474.5765
NonInvasiveFetalECGThorax2,3765,777,465.6205
OSULeaf,442,777,5.9427
OliveOil,60,777,4.3902
PhalangesOutlinesCorrect,2658,777,23.9944
Phoneme,2110,777,499.1837
PhonemeSpectra,6668,8547,765.8341
PigAirwayPressure,312,777,142.6915
PowerCons,360,777,4.0966
ProximalPhalanxOutlineAgeGroup,605,777,6.031
ProximalPhalanxOutlineCorrect,891,777,8.6714
ProximalPhalanxTW,605,777,6.1755
RacketSports,303,4662,15.6669
RefrigerationDevices,750,777,92.904
Rock,70,777,46.0537
ScreenType,750,777,87.8598
SelfRegulationSCP1,561,4662,576.586
SelfRegulationSCP2,380,5439,739.2308
PigArtPressure,312,777,146.7472
PigCVP,312,777,143.3052
SemgHandGenderCh2,900,777,299.7547
SemgHandMovementCh2,900,777,301.7025
SemgHandSubjectCh2,900,777,297.0163
ShapeletSim,200,777,6.0987
ShapesAll,1200,777,48.4845
SmallKitchenAppliances,750,777,85.1483
SmoothSubspace,300,777,3.2412
SonyAIBORobotSurface1,621,777,5.8774
SonyAIBORobotSurface2,980,777,8.8828
StandWalkJump,27,3108,60.0409
StarLightCurves,9236,777,2080.1866
Strawberry,983,777,10.9875
SwedishLeaf,1125,777,11.7142
Symbols,1020,777,13.0296
SyntheticControl,600,777,6.1157
ToeSegmentation1,268,777,3.861
ToeSegmentation2,166,777,2.6662
Trace,200,777,3.1235
TwoLeadECG,1162,777,11.18
TwoPatterns,5000,777,45.4429
UMD,180,777,2.3991
UWaveGestureLibrary,440,2331,14.7545
UWaveGestureLibraryAll,4478,777,923.7002
UWaveGestureLibraryX,4478,777,47.9465
UWaveGestureLibraryY,4478,777,47.7717
UWaveGestureLibraryZ,4478,777,48.0378
Wafer,7164,777,67.0841
Wine,111,777,1.8768
WordSynonyms,905,777,10.592
Worms,258,777,44.6172
WormsTwoClass,258,777,43.3543
Yoga,3300,777,41.3258
