dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.83,0.78,0.78,0.77,0.71,0.78,0.77,0.75,0.75,0.79,0.78,0.81,0.78,0.82,0.72,0.75,0.72,0.83,0.76,0.74,0.75,0.88,0.81,0.77,0.81,0.84,0.76,0.78,0.8,0.75
Adiac,0.7723785166240409,0.7493606138107417,0.7391304347826086,0.731457800511509,0.7468030690537084,0.7468030690537084,0.7570332480818415,0.7672634271099744,0.7672634271099744,0.731457800511509,0.7595907928388747,0.7672634271099744,0.7672634271099744,0.7698209718670077,0.7595907928388747,0.7698209718670077,0.7468030690537084,0.7672634271099744,0.7263427109974424,0.7595907928388747,0.7263427109974424,0.7902813299232737,0.7595907928388747,0.7416879795396419,0.7595907928388747,0.7902813299232737,0.731457800511509,0.7570332480818415,0.7595907928388747,0.7570332480818415
ArrowHead,0.72,0.76,0.76,0.7885714285714286,0.7885714285714286,0.7885714285714286,0.7371428571428571,0.8228571428571428,0.6971428571428572,0.7828571428571428,0.7485714285714286,0.7771428571428571,0.8171428571428572,0.7485714285714286,0.7885714285714286,0.8114285714285714,0.8114285714285714,0.7028571428571428,0.7714285714285715,0.8228571428571428,0.7485714285714286,0.7142857142857143,0.7885714285714286,0.7314285714285714,0.7657142857142857,0.7428571428571429,0.7942857142857143,0.6742857142857143,0.7542857142857143,0.7771428571428571
ArticularyWordRecognition,0.9866666666666668,0.98,0.9933333333333332,0.9833333333333332,0.99,0.9933333333333332,0.9933333333333332,0.99,0.9933333333333332,0.9966666666666668,0.99,0.98,0.98,0.9833333333333332,0.98,0.97,0.9933333333333332,0.99,0.99,0.9833333333333332,0.98,0.99,0.9866666666666668,0.9933333333333332,0.99,0.99,0.9933333333333332,0.9866666666666668,0.98,0.98
AtrialFibrillation,0.1333333333333333,0.2,0.2,0.4,0.1333333333333333,0.2666666666666666,0.1333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.2666666666666666,0.2666666666666666,0.3333333333333333,0.2,0.4,0.3333333333333333,0.1333333333333333,0.2,0.2,0.2,0.2666666666666666,0.2,0.1333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.4,0.2666666666666666
BME,0.9466666666666668,0.9533333333333334,0.9533333333333334,0.9466666666666668,0.96,0.96,0.9466666666666668,0.9533333333333334,0.9,0.9533333333333334,0.9333333333333332,0.96,0.9466666666666668,0.86,0.9266666666666666,0.9,0.96,0.96,0.96,0.9466666666666668,0.8933333333333333,0.94,0.9666666666666668,0.9466666666666668,0.9666666666666668,0.8733333333333333,0.94,0.9466666666666668,0.9533333333333334,0.8933333333333333
BasicMotions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beef,0.6,0.3666666666666666,0.4666666666666667,0.4,0.4333333333333333,0.5333333333333333,0.4333333333333333,0.4666666666666667,0.6,0.4333333333333333,0.5,0.6,0.5,0.4666666666666667,0.6,0.3333333333333333,0.4,0.4333333333333333,0.3666666666666666,0.4333333333333333,0.4666666666666667,0.4666666666666667,0.4,0.4,0.5333333333333333,0.5,0.5,0.5666666666666667,0.4333333333333333,0.5
BeetleFly,0.65,0.95,0.85,0.95,0.95,0.85,0.8,0.85,0.9,0.8,0.7,0.8,0.8,0.95,0.9,0.8,0.9,0.8,0.9,0.95,0.85,0.9,0.9,0.65,0.9,0.8,0.8,0.95,0.9,0.85
BirdChicken,0.8,0.9,0.7,0.9,0.85,0.85,0.95,0.65,0.9,0.8,0.85,0.95,0.95,0.85,0.95,0.9,0.9,0.85,0.85,0.85,0.9,0.85,0.85,0.95,0.9,0.8,0.95,0.95,0.85,0.9
CBF,0.9866666666666668,0.9833333333333332,0.9844444444444445,0.9855555555555556,0.9222222222222224,0.9822222222222222,0.9877777777777778,0.9455555555555556,0.99,0.9744444444444444,0.9822222222222222,0.9888888888888888,0.8966666666666666,0.9411111111111112,0.9855555555555556,0.9922222222222222,0.9811111111111112,0.9922222222222222,0.9911111111111112,0.9933333333333332,0.9888888888888888,0.9933333333333332,0.9888888888888888,0.9588888888888888,0.9922222222222222,0.9966666666666668,0.9811111111111112,0.9944444444444444,0.9955555555555556,0.9488888888888888
Car,0.7833333333333333,0.7333333333333333,0.8,0.75,0.7833333333333333,0.7833333333333333,0.8,0.6833333333333333,0.75,0.75,0.7833333333333333,0.8333333333333334,0.6666666666666666,0.75,0.8166666666666667,0.7333333333333333,0.85,0.7666666666666667,0.7166666666666667,0.8333333333333334,0.75,0.75,0.75,0.75,0.8333333333333334,0.7833333333333333,0.8,0.8,0.6833333333333333,0.8333333333333334
Chinatown,0.9212827988338192,0.9358600583090378,0.8746355685131195,0.9154518950437318,0.932944606413994,0.9183673469387756,0.9416909620991254,0.8833819241982507,0.9271137026239068,0.8688046647230321,0.9358600583090378,0.880466472303207,0.9533527696793004,0.9271137026239068,0.9183673469387756,0.8513119533527697,0.9212827988338192,0.9300291545189504,0.9212827988338192,0.9300291545189504,0.9154518950437318,0.9183673469387756,0.9008746355685132,0.9096209912536444,0.9387755102040816,0.8483965014577259,0.9271137026239068,0.9212827988338192,0.9446064139941692,0.8717201166180758
ChlorineConcentration,0.5973958333333333,0.5986979166666667,0.5854166666666667,0.6088541666666667,0.5776041666666667,0.5856770833333333,0.6317708333333333,0.6091145833333333,0.5924479166666666,0.6252604166666667,0.60703125,0.6026041666666667,0.6276041666666666,0.603125,0.60390625,0.5950520833333334,0.58671875,0.5786458333333333,0.5713541666666667,0.6122395833333333,0.58515625,0.625,0.6080729166666666,0.5736979166666667,0.5783854166666667,0.603125,0.6046875,0.5955729166666667,0.60625,0.5927083333333333
CinCECGTorso,0.8710144927536232,0.7927536231884058,0.8318840579710145,0.8586956521739131,0.8289855072463768,0.8753623188405797,0.9115942028985508,0.863768115942029,0.8579710144927536,0.9384057971014492,0.8434782608695652,0.8753623188405797,0.763768115942029,0.7913043478260869,0.8231884057971014,0.8681159420289855,0.827536231884058,0.8731884057971014,0.9007246376811594,0.9108695652173912,0.8652173913043478,0.8478260869565217,0.8797101449275362,0.8942028985507247,0.8442028985507246,0.8478260869565217,0.8297101449275363,0.8079710144927537,0.927536231884058,0.7847826086956522
Coffee,1.0,0.9285714285714286,0.9642857142857144,1.0,0.9285714285714286,0.9285714285714286,1.0,1.0,1.0,0.9285714285714286,1.0,0.9285714285714286,0.9642857142857144,1.0,1.0,1.0,0.9285714285714286,0.9285714285714286,1.0,0.9285714285714286,1.0,1.0,0.9642857142857144,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
Computers,0.796,0.808,0.804,0.832,0.86,0.828,0.8,0.82,0.848,0.828,0.796,0.828,0.816,0.832,0.804,0.856,0.84,0.8,0.876,0.776,0.78,0.828,0.824,0.808,0.8,0.82,0.832,0.832,0.8,0.856
Cricket,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,0.9861111111111112,1.0,0.9722222222222222,1.0,0.9861111111111112,0.9861111111111112,1.0,0.9861111111111112,1.0,0.9861111111111112,1.0,1.0,0.9861111111111112,0.9722222222222222,1.0,1.0,0.9861111111111112,1.0,0.9861111111111112
CricketX,0.6641025641025641,0.6538461538461539,0.6641025641025641,0.6820512820512821,0.658974358974359,0.6435897435897436,0.6538461538461539,0.6974358974358974,0.6512820512820513,0.6435897435897436,0.6641025641025641,0.6564102564102564,0.7282051282051282,0.6358974358974359,0.6538461538461539,0.6512820512820513,0.6384615384615384,0.6615384615384615,0.7128205128205128,0.6512820512820513,0.6538461538461539,0.6794871794871795,0.6538461538461539,0.6384615384615384,0.6717948717948717,0.6846153846153846,0.6435897435897436,0.6615384615384615,0.6641025641025641,0.6205128205128205
CricketY,0.6564102564102564,0.6384615384615384,0.6384615384615384,0.6512820512820513,0.6435897435897436,0.6717948717948717,0.6307692307692307,0.6641025641025641,0.6205128205128205,0.6717948717948717,0.6487179487179487,0.6717948717948717,0.6282051282051282,0.6666666666666666,0.6717948717948717,0.658974358974359,0.6538461538461539,0.6717948717948717,0.6538461538461539,0.6846153846153846,0.6743589743589744,0.6538461538461539,0.6820512820512821,0.6564102564102564,0.6435897435897436,0.6358974358974359,0.6435897435897436,0.676923076923077,0.6794871794871795,0.6948717948717948
CricketZ,0.6923076923076923,0.676923076923077,0.6641025641025641,0.6923076923076923,0.6948717948717948,0.717948717948718,0.6666666666666666,0.7128205128205128,0.6641025641025641,0.6794871794871795,0.6743589743589744,0.6692307692307692,0.7128205128205128,0.6717948717948717,0.6666666666666666,0.717948717948718,0.6743589743589744,0.6641025641025641,0.6461538461538462,0.6871794871794872,0.7025641025641025,0.7256410256410256,0.6974358974358974,0.6820512820512821,0.658974358974359,0.6666666666666666,0.6923076923076923,0.6615384615384615,0.7051282051282052,0.7051282051282052
Crop,0.7293452380952381,0.7360714285714286,0.7279761904761904,0.7314285714285714,0.733452380952381,0.7336309523809523,0.7258333333333333,0.7291666666666666,0.7267261904761905,0.7275,0.7256547619047619,0.7270833333333333,0.7323809523809524,0.7317261904761905,0.728452380952381,0.7338095238095238,0.7275,0.7244047619047619,0.7327976190476191,0.7344047619047619,0.7273214285714286,0.7267261904761905,0.7246428571428571,0.7295238095238096,0.7257142857142858,0.7286309523809524,0.7336904761904762,0.72875,0.7367261904761905,0.7297619047619047
DiatomSizeReduction,0.9705882352941176,0.8921568627450981,0.9052287581699346,0.9901960784313726,0.9803921568627452,0.9836601307189542,0.9869281045751634,0.9869281045751634,0.9901960784313726,0.9869281045751634,0.9803921568627452,0.9836601307189542,0.9084967320261438,0.9705882352941176,0.9901960784313726,0.9901960784313726,0.9084967320261438,0.9901960784313726,0.9738562091503268,0.9901960784313726,0.9836601307189542,0.9836601307189542,0.9411764705882352,0.9836601307189542,0.9803921568627452,0.915032679738562,0.9901960784313726,0.9836601307189542,0.977124183006536,0.9117647058823528
DistalPhalanxOutlineAgeGroup,0.7266187050359713,0.762589928057554,0.8057553956834532,0.7985611510791367,0.762589928057554,0.7769784172661871,0.7482014388489209,0.7841726618705036,0.7769784172661871,0.7553956834532374,0.7769784172661871,0.8129496402877698,0.7338129496402878,0.7841726618705036,0.7553956834532374,0.7553956834532374,0.8345323741007195,0.7985611510791367,0.7841726618705036,0.7913669064748201,0.7769784172661871,0.7985611510791367,0.8057553956834532,0.7697841726618705,0.7338129496402878,0.8489208633093526,0.7841726618705036,0.8201438848920863,0.7338129496402878,0.7985611510791367
DistalPhalanxOutlineCorrect,0.8043478260869565,0.822463768115942,0.8297101449275363,0.8405797101449275,0.8333333333333334,0.8442028985507246,0.8297101449275363,0.8297101449275363,0.8333333333333334,0.8188405797101449,0.8333333333333334,0.8297101449275363,0.8260869565217391,0.782608695652174,0.8260869565217391,0.8586956521739131,0.8442028985507246,0.8442028985507246,0.855072463768116,0.822463768115942,0.7934782608695652,0.8188405797101449,0.8442028985507246,0.8043478260869565,0.8152173913043478,0.8369565217391305,0.8405797101449275,0.8405797101449275,0.8333333333333334,0.822463768115942
DistalPhalanxTW,0.6906474820143885,0.7194244604316546,0.697841726618705,0.6834532374100719,0.697841726618705,0.7050359712230215,0.6906474820143885,0.697841726618705,0.6906474820143885,0.7122302158273381,0.7266187050359713,0.7122302158273381,0.6834532374100719,0.7266187050359713,0.7266187050359713,0.697841726618705,0.7050359712230215,0.697841726618705,0.7050359712230215,0.697841726618705,0.7266187050359713,0.7050359712230215,0.6834532374100719,0.7122302158273381,0.7410071942446043,0.7194244604316546,0.6906474820143885,0.6690647482014388,0.697841726618705,0.7338129496402878
DuckDuckGeese,0.52,0.62,0.56,0.62,0.64,0.76,0.66,0.64,0.72,0.52,0.62,0.7,0.72,0.66,0.68,0.72,0.54,0.72,0.7,0.62,0.56,0.56,0.64,0.68,0.72,0.74,0.58,0.66,0.62,0.7
ECG200,0.82,0.82,0.8,0.82,0.82,0.77,0.85,0.78,0.8,0.83,0.8,0.84,0.78,0.82,0.84,0.84,0.81,0.85,0.85,0.77,0.8,0.79,0.82,0.78,0.77,0.84,0.83,0.76,0.81,0.78
ECG5000,0.9382222222222222,0.9337777777777778,0.9404444444444444,0.9437777777777778,0.9375555555555556,0.9408888888888888,0.9451111111111112,0.9415555555555556,0.9391111111111112,0.9346666666666666,0.9391111111111112,0.9446666666666668,0.9426666666666668,0.9353333333333332,0.9373333333333334,0.9417777777777778,0.9342222222222222,0.9346666666666666,0.9311111111111112,0.9415555555555556,0.9328888888888888,0.9366666666666666,0.938,0.9406666666666668,0.9397777777777778,0.942,0.936,0.9404444444444444,0.9388888888888888,0.9375555555555556
ECGFiveDays,0.9152148664343788,0.9488966318234612,0.9419279907084784,0.926829268292683,0.9163763066202092,0.7967479674796748,0.9605110336817654,0.7700348432055749,0.9547038327526132,0.9210220673635308,0.975609756097561,0.943089430894309,0.8977932636469221,0.9698025551684089,0.9059233449477352,0.8524970963995354,0.8815331010452961,0.9558652729384436,0.9291521486643438,0.9291521486643438,0.9500580720092916,0.8931475029036005,0.9256678281068524,0.9361207897793264,0.9628339140534262,0.9535423925667827,0.9094076655052264,0.9454123112659698,0.9326364692218352,0.9384436701509872
EOGHorizontalSignal,0.5552486187845304,0.7707182320441989,0.7458563535911602,0.7790055248618785,0.7596685082872928,0.8038674033149171,0.7762430939226519,0.7569060773480663,0.8011049723756906,0.7679558011049724,0.7651933701657458,0.7983425414364641,0.7458563535911602,0.7596685082872928,0.787292817679558,0.7734806629834254,0.7707182320441989,0.7679558011049724,0.7541436464088398,0.7679558011049724,0.7513812154696132,0.7541436464088398,0.7403314917127072,0.8093922651933702,0.8038674033149171,0.7569060773480663,0.787292817679558,0.7596685082872928,0.7734806629834254,0.7541436464088398
EOGVerticalSignal,0.4171270718232044,0.7209944751381215,0.7182320441988951,0.7016574585635359,0.7237569060773481,0.7320441988950276,0.7265193370165746,0.7265193370165746,0.7265193370165746,0.7458563535911602,0.7375690607734806,0.7071823204419889,0.7458563535911602,0.7154696132596685,0.712707182320442,0.7016574585635359,0.712707182320442,0.7403314917127072,0.7071823204419889,0.7292817679558011,0.6988950276243094,0.6988950276243094,0.7154696132596685,0.712707182320442,0.6823204419889503,0.7513812154696132,0.712707182320442,0.7348066298342542,0.7237569060773481,0.6961325966850829
ERing,0.9074074074074074,0.8592592592592593,0.8555555555555555,0.9,0.9111111111111112,0.8703703703703703,0.925925925925926,0.9148148148148147,0.8962962962962963,0.837037037037037,0.9074074074074074,0.925925925925926,0.9185185185185184,0.8888888888888888,0.9481481481481482,0.8740740740740741,0.9148148148148147,0.9222222222222224,0.8629629629629629,0.8925925925925926,0.8962962962962963,0.8851851851851852,0.8666666666666667,0.9296296296296296,0.825925925925926,0.9037037037037036,0.9037037037037036,0.9444444444444444,0.9333333333333332,0.8740740740740741
Earthquakes,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209
