dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.95,0.89,0.88,0.82,0.86,0.85,0.81,0.9,0.93,0.85,0.88,0.87,0.86,0.91,0.89,0.83,0.82,0.9,0.85,0.79,0.87,0.92,0.88,0.9,0.92,0.87,0.85,0.86,0.85,0.83
Adiac,0.8363171355498721,0.8516624040920716,0.8286445012787724,0.8260869565217391,0.8337595907928389,0.8312020460358056,0.8005115089514067,0.8337595907928389,0.8363171355498721,0.8414322250639387,0.8184143222506394,0.8337595907928389,0.8132992327365729,0.8388746803069054,0.8337595907928389,0.8618925831202046,0.8414322250639387,0.8260869565217391,0.8414322250639387,0.8542199488491049,0.8005115089514067,0.8797953964194374,0.8618925831202046,0.8542199488491049,0.8542199488491049,0.8235294117647058,0.8005115089514067,0.8286445012787724,0.8337595907928389,0.8312020460358056
ArrowHead,0.8114285714285714,0.8285714285714286,0.8342857142857143,0.9257142857142856,0.9314285714285714,0.9142857142857144,0.8571428571428571,0.8628571428571429,0.9371428571428572,0.8628571428571429,0.84,0.92,0.9028571428571428,0.9085714285714286,0.8514285714285714,0.8285714285714286,0.8228571428571428,0.8057142857142857,0.9028571428571428,0.8628571428571429,0.9142857142857144,0.8342857142857143,0.92,0.8,0.8857142857142857,0.8457142857142858,0.9371428571428572,0.8914285714285715,0.8228571428571428,0.92
ArticularyWordRecognition,0.99,0.99,1.0,0.9866666666666668,0.99,0.9933333333333332,0.9966666666666668,0.99,0.9933333333333332,0.9933333333333332,0.9866666666666668,0.9966666666666668,0.98,0.9933333333333332,0.9866666666666668,0.98,0.9933333333333332,0.9933333333333332,0.99,0.99,0.99,0.9966666666666668,0.9933333333333332,0.9966666666666668,0.99,0.9933333333333332,0.9933333333333332,0.99,0.9866666666666668,0.9766666666666668
AtrialFibrillation,0.2,0.2666666666666666,0.0666666666666666,0.2666666666666666,0.2666666666666666,0.2,0.4,0.2,0.1333333333333333,0.4,0.2,0.2666666666666666,0.5333333333333333,0.3333333333333333,0.2666666666666666,0.1333333333333333,0.2666666666666666,0.3333333333333333,0.1333333333333333,0.2,0.4,0.2666666666666666,0.2,0.3333333333333333,0.3333333333333333,0.2666666666666666,0.2,0.3333333333333333,0.1333333333333333,0.2
BME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BasicMotions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beef,0.8,0.8,0.7,0.9,0.7666666666666667,0.8333333333333334,0.8333333333333334,0.7666666666666667,0.8,0.8333333333333334,0.9,0.7,0.7666666666666667,0.7666666666666667,0.8333333333333334,0.6333333333333333,0.7333333333333333,0.7333333333333333,0.6333333333333333,0.6666666666666666,0.7333333333333333,0.8,0.8333333333333334,0.8,0.6333333333333333,0.8,0.6333333333333333,0.6666666666666666,0.6666666666666666,0.7333333333333333
BeetleFly,0.9,0.95,0.95,0.85,1.0,0.9,0.9,0.9,0.95,0.9,0.95,0.9,0.8,0.9,1.0,1.0,0.8,0.75,0.9,0.95,0.95,0.9,0.95,0.8,0.9,0.9,0.9,0.95,0.95,0.95
BirdChicken,0.95,0.95,0.9,0.9,0.95,0.85,1.0,0.8,0.9,1.0,0.9,0.95,1.0,1.0,0.95,0.9,0.9,0.85,0.9,0.95,1.0,0.85,0.85,1.0,0.95,0.9,0.95,1.0,0.85,0.9
CBF,1.0,1.0,0.9988888888888888,0.9988888888888888,0.9955555555555556,1.0,1.0,0.9977777777777778,0.9988888888888888,1.0,1.0,0.9988888888888888,0.9988888888888888,0.9988888888888888,1.0,0.9977777777777778,1.0,1.0,1.0,0.9988888888888888,0.9977777777777778,1.0,1.0,0.9911111111111112,1.0,1.0,0.9988888888888888,1.0,1.0,0.9988888888888888
Car,0.9,0.8833333333333333,0.95,0.9166666666666666,0.9333333333333332,0.8833333333333333,0.9,0.9,0.9333333333333332,0.9,0.95,0.9666666666666668,0.9,0.9833333333333332,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.9,0.9166666666666666,0.9,0.9166666666666666,0.9333333333333332,0.8833333333333333,0.9333333333333332,0.9333333333333332,0.9666666666666668,0.9333333333333332,0.9,0.9666666666666668,0.9833333333333332
Chinatown,0.979591836734694,0.967930029154519,0.9620991253644317,0.956268221574344,0.967930029154519,0.9620991253644317,0.9737609329446064,0.9708454810495628,0.97667638483965,0.9591836734693876,0.9737609329446064,0.9650145772594751,0.9737609329446064,0.9737609329446064,0.9620991253644317,0.9533527696793004,0.9708454810495628,0.9825072886297376,0.9591836734693876,0.9620991253644317,0.9708454810495628,0.967930029154519,0.9591836734693876,0.967930029154519,0.979591836734694,0.9650145772594751,0.967930029154519,0.967930029154519,0.9620991253644317,0.9620991253644317
ChlorineConcentration,0.7369791666666666,0.7333333333333333,0.73515625,0.7354166666666667,0.7526041666666666,0.7380208333333333,0.73828125,0.7455729166666667,0.7197916666666667,0.7385416666666667,0.7208333333333333,0.7372395833333333,0.7348958333333333,0.7458333333333333,0.7421875,0.7341145833333333,0.7192708333333333,0.7359375,0.7408854166666666,0.7307291666666667,0.72265625,0.72109375,0.7361979166666667,0.7518229166666667,0.7479166666666667,0.7270833333333333,0.7263020833333333,0.74140625,0.7416666666666667,0.728125
CinCECGTorso,0.9927536231884058,0.9927536231884058,0.9855072463768116,0.9797101449275364,0.9695652173913044,0.9905797101449276,0.9630434782608696,0.9920289855072464,0.9847826086956522,0.9891304347826086,0.981159420289855,0.9630434782608696,0.9985507246376812,0.9855072463768116,0.8869565217391304,0.9731884057971014,0.972463768115942,0.986231884057971,0.98768115942029,0.9905797101449276,0.994927536231884,0.9891304347826086,0.9681159420289857,0.9963768115942028,0.986231884057971,0.9963768115942028,0.9688405797101448,0.9731884057971014,0.9927536231884058,0.9942028985507246
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.82,0.88,0.904,0.876,0.92,0.896,0.868,0.932,0.86,0.9,0.9,0.888,0.888,0.864,0.912,0.912,0.88,0.848,0.924,0.9,0.872,0.896,0.868,0.868,0.888,0.904,0.904,0.924,0.892,0.896
Cricket,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CricketX,0.8051282051282052,0.8128205128205128,0.8128205128205128,0.8102564102564103,0.8512820512820513,0.8461538461538461,0.8615384615384616,0.8333333333333334,0.8128205128205128,0.8589743589743589,0.8333333333333334,0.841025641025641,0.882051282051282,0.8282051282051283,0.841025641025641,0.8487179487179487,0.8256410256410256,0.8384615384615385,0.8307692307692308,0.8358974358974359,0.8205128205128205,0.8307692307692308,0.8153846153846154,0.8333333333333334,0.841025641025641,0.7974358974358975,0.8179487179487179,0.8512820512820513,0.8153846153846154,0.8435897435897436
CricketY,0.8487179487179487,0.8282051282051283,0.8256410256410256,0.841025641025641,0.8692307692307693,0.8487179487179487,0.8333333333333334,0.8512820512820513,0.8384615384615385,0.8307692307692308,0.841025641025641,0.841025641025641,0.8333333333333334,0.8384615384615385,0.8384615384615385,0.8538461538461538,0.8307692307692308,0.8743589743589744,0.8615384615384616,0.8384615384615385,0.8512820512820513,0.8641025641025641,0.8641025641025641,0.8538461538461538,0.8564102564102564,0.8435897435897436,0.841025641025641,0.8461538461538461,0.8487179487179487,0.8717948717948718
CricketZ,0.8435897435897436,0.8358974358974359,0.8461538461538461,0.841025641025641,0.8384615384615385,0.8256410256410256,0.882051282051282,0.8615384615384616,0.7948717948717948,0.8512820512820513,0.8641025641025641,0.841025641025641,0.8564102564102564,0.8384615384615385,0.8435897435897436,0.8923076923076924,0.8641025641025641,0.8358974358974359,0.8564102564102564,0.8564102564102564,0.8435897435897436,0.8717948717948718,0.8564102564102564,0.8358974358974359,0.8461538461538461,0.8384615384615385,0.8615384615384616,0.841025641025641,0.8564102564102564,0.8435897435897436
DiatomSizeReduction,0.9836601307189542,0.8954248366013072,0.9084967320261438,0.9803921568627452,0.9705882352941176,0.9640522875816994,0.931372549019608,0.9673202614379084,0.9967320261437908,0.9738562091503268,0.9640522875816994,0.977124183006536,0.9052287581699346,0.931372549019608,0.9738562091503268,0.954248366013072,0.9052287581699346,0.9869281045751634,0.9607843137254902,0.9803921568627452,0.9836601307189542,0.954248366013072,0.9803921568627452,0.9738562091503268,0.977124183006536,0.9019607843137256,0.954248366013072,0.9477124183006536,0.8758169934640523,0.9052287581699346
DistalPhalanxOutlineAgeGroup,0.7122302158273381,0.7841726618705036,0.7841726618705036,0.841726618705036,0.7841726618705036,0.7985611510791367,0.7841726618705036,0.7697841726618705,0.8129496402877698,0.7985611510791367,0.7985611510791367,0.8273381294964028,0.8057553956834532,0.7769784172661871,0.7841726618705036,0.7913669064748201,0.8129496402877698,0.8129496402877698,0.8057553956834532,0.7697841726618705,0.7913669064748201,0.8201438848920863,0.8201438848920863,0.8057553956834532,0.762589928057554,0.8561151079136691,0.7985611510791367,0.8129496402877698,0.7410071942446043,0.7913669064748201
DistalPhalanxOutlineCorrect,0.7898550724637681,0.8442028985507246,0.8586956521739131,0.855072463768116,0.855072463768116,0.8586956521739131,0.8260869565217391,0.8514492753623188,0.8442028985507246,0.8442028985507246,0.8586956521739131,0.8586956521739131,0.8333333333333334,0.8333333333333334,0.8478260869565217,0.8442028985507246,0.8731884057971014,0.8478260869565217,0.8369565217391305,0.8442028985507246,0.8188405797101449,0.8405797101449275,0.8333333333333334,0.8405797101449275,0.8297101449275363,0.8731884057971014,0.855072463768116,0.8913043478260869,0.822463768115942,0.8333333333333334
DistalPhalanxTW,0.7122302158273381,0.7122302158273381,0.7410071942446043,0.697841726618705,0.7050359712230215,0.7553956834532374,0.7194244604316546,0.7482014388489209,0.762589928057554,0.7050359712230215,0.7482014388489209,0.7266187050359713,0.6906474820143885,0.7410071942446043,0.7122302158273381,0.7482014388489209,0.7194244604316546,0.7338129496402878,0.6834532374100719,0.7769784172661871,0.7050359712230215,0.7194244604316546,0.7194244604316546,0.7122302158273381,0.7338129496402878,0.7194244604316546,0.6906474820143885,0.7050359712230215,0.7266187050359713,0.7410071942446043
ECG200,0.91,0.91,0.91,0.93,0.91,0.9,0.89,0.89,0.87,0.88,0.92,0.95,0.92,0.89,0.94,0.93,0.91,0.95,0.89,0.9,0.88,0.91,0.86,0.9,0.92,0.89,0.92,0.87,0.93,0.94
