dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.94,0.84,0.86,0.82,0.84,0.82,0.84,0.89,0.89,0.85,0.9,0.91,0.88,0.9,0.88,0.84,0.82,0.86,0.81,0.79,0.86,0.94,0.86,0.93,0.9,0.91,0.85,0.86,0.85,0.8
Adiac,0.8439897698209718,0.8491048593350383,0.8260869565217391,0.8184143222506394,0.8414322250639387,0.8363171355498721,0.8209718670076727,0.8516624040920716,0.8465473145780051,0.8414322250639387,0.8388746803069054,0.8567774936061381,0.8260869565217391,0.8388746803069054,0.8542199488491049,0.8542199488491049,0.8209718670076727,0.8286445012787724,0.8363171355498721,0.8491048593350383,0.8414322250639387,0.8746803069053708,0.8158567774936062,0.8567774936061381,0.8670076726342711,0.8439897698209718,0.8286445012787724,0.8465473145780051,0.8337595907928389,0.8209718670076727
ArrowHead,0.7085714285714285,0.8228571428571428,0.84,0.84,0.8285714285714286,0.8628571428571429,0.76,0.8228571428571428,0.92,0.8228571428571428,0.7885714285714286,0.8457142857142858,0.9085714285714286,0.8857142857142857,0.8285714285714286,0.8,0.84,0.8,0.7942857142857143,0.84,0.8914285714285715,0.8,0.8571428571428571,0.7771428571428571,0.8114285714285714,0.76,0.8685714285714285,0.8057142857142857,0.8171428571428572,0.88
ArticularyWordRecognition,0.99,0.9866666666666668,0.9966666666666668,0.9866666666666668,0.9933333333333332,0.9966666666666668,0.9966666666666668,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.99,0.9833333333333332,0.99,0.9866666666666668,0.98,0.9933333333333332,0.9933333333333332,0.99,0.9933333333333332,0.9833333333333332,0.9966666666666668,0.9866666666666668,0.9933333333333332,0.99,0.9933333333333332,0.9933333333333332,0.99,0.9866666666666668,0.98
AtrialFibrillation,0.3333333333333333,0.2666666666666666,0.1333333333333333,0.2666666666666666,0.2666666666666666,0.2,0.0666666666666666,0.4666666666666667,0.3333333333333333,0.5333333333333333,0.4666666666666667,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2,0.3333333333333333,0.2666666666666666,0.3333333333333333,0.2,0.1333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.4,0.2,0.3333333333333333,0.2666666666666666,0.4666666666666667
BME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BasicMotions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beef,0.8333333333333334,0.8333333333333334,0.7666666666666667,0.9,0.8,0.8,0.9333333333333332,0.7666666666666667,0.8333333333333334,0.8,0.8333333333333334,0.7666666666666667,0.7333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.7666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.7333333333333333,0.8,0.8,0.8666666666666667
BeetleFly,0.8,0.85,0.9,0.9,0.95,0.8,0.9,0.75,0.9,0.9,0.95,0.9,0.85,0.9,0.9,0.9,0.85,0.75,0.8,0.95,0.95,0.8,0.9,0.85,0.85,0.9,0.9,0.9,0.9,0.85
BirdChicken,0.9,0.8,0.95,1.0,0.95,0.9,0.95,0.9,1.0,0.95,0.9,1.0,1.0,1.0,1.0,0.95,0.8,0.95,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9,1.0,1.0,0.9,0.95
