dataset,n_samples,n_features,time_seconds
Covid3Month,201,22,0.4803
FloodModeling1,673,22,0.4421
FloodModeling2,667,22,0.4464
FloodModeling3,613,22,0.408
IEEEPPG,3096,110,21.7407
HouseholdPowerConsumption2_nmv,1431,110,14.8699
HouseholdPowerConsumption1_nmv,1431,110,14.5445
AppliancesEnergy,137,528,1.1451
BenzeneConcentration_nmv,8512,176,31.4206
LiveFuelMoistureContent,5003,154,22.1647
BIDMC32RR,7870,44,91.0001
BIDMC32SpO2,7949,44,92.0601
BIDMC32HR,7949,44,91.8552
AcousticContaminationMadrid_nmv,238,22,0.1946
AluminiumConcentration,629,22,2.4797
BarCrawl6min,201,66,0.505
BeijingIntAirportPM25Quality,1571,132,1.1478
BinanceCoinSentiment,263,44,0.0996
BitcoinSentiment,332,44,0.1131
BoronConcentration,626,22,2.4539
CalciumConcentration,635,22,2.7177
CardanoSentiment,107,44,0.0395
ChilledWaterPredictor,459,88,0.7111
CopperConcentration,629,22,2.4701
Covid19Andalusia,204,22,0.0644
DailyOilGasPrices,191,44,0.0736
DhakaHourlyAirQuality,2068,22,0.3784
ElectricityPredictor,810,88,1.2605
EthereumSentiment,356,44,0.1244
GasSensorArrayAcetone,464,22,4.9862
GasSensorArrayEthanol,464,22,4.9933
HotwaterPredictor,351,88,0.5478
IronConcentration,611,22,1.5618
LPGasMonitoringHomeActivity,2882,22,0.8274
MadridPM10Quality_nmv,6922,66,8.837
MagnesiumConcentration,2229,22,10.5725
ManganeseConcentration,611,22,1.5562
MethaneMonitoringHomeActivity,2882,22,0.8228
MetroInterstateTrafficVolume,1214,88,0.5572
NaturalGasPricesSentiment,93,22,0.0233
OccupancyDetectionLight,340,66,0.217
ParkingBirmingham_eq,1988,22,0.3189
PhosphorusConcentration,2248,22,10.6868
PotassiumConcentration,2230,22,10.5927
PrecipitationAndalusia_nmv,672,88,1.8334
SierraNevadaMountainsSnow,500,66,0.2465
SodiumConcentration,607,22,1.5565
SolarRadiationAndalusia_nmv,672,44,0.9175
SteamPredictor,300,88,0.471
SulphurConcentration,635,22,2.7331
WaveDataTension,1893,22,0.4392
WindTurbinePower,852,22,0.3618
ZincConcentration,636,22,2.7191
BeijingPM10Quality_nmv,16966,198,20.2307
BeijingPM25Quality_nmv,16966,198,20.0949
