dataset,n_samples,n_features,time_seconds
Covid3Month,201,49728,0.3815
FloodModeling1,673,49728,3.026
FloodModeling2,667,49728,2.956
FloodModeling3,613,49728,2.7547
IEEEPPG,3096,49728,88.1614
HouseholdPowerConsumption2_nmv,1431,49728,70.4776
HouseholdPowerConsumption1_nmv,1431,49728,70.5514
AppliancesEnergy,137,49728,0.8866
BenzeneConcentration_nmv,8512,49728,82.5907
LiveFuelMoistureContent,5003,49728,70.0197
BIDMC32RR,7870,49728,741.2431
BIDMC32SpO2,7949,49728,737.6452
BIDMC32HR,7949,49728,746.5333
AcousticContaminationMadrid_nmv,238,49728,2.1667
AluminiumConcentration,629,49728,19.713
BarCrawl6min,201,49728,2.4428
BeijingIntAirportPM25Quality,1571,49728,1.1899
BinanceCoinSentiment,263,49728,0.1943
BitcoinSentiment,332,49728,0.2463
BoronConcentration,626,49728,19.5295
CalciumConcentration,635,49728,23.9618
CardanoSentiment,107,49728,0.0868
ChilledWaterPredictor,459,49728,2.8254
CopperConcentration,629,49728,19.6381
Covid19Andalusia,204,49728,0.4342
DailyOilGasPrices,191,49728,0.1793
DhakaHourlyAirQuality,2068,49728,1.2337
ElectricityPredictor,810,49728,4.8875
EthereumSentiment,356,49728,0.253
GasSensorArrayAcetone,464,49728,63.6709
GasSensorArrayEthanol,464,49728,64.5212
HotwaterPredictor,351,49728,2.1641
IronConcentration,611,49728,12.8562
LPGasMonitoringHomeActivity,2882,49728,4.5445
MadridPM10Quality_nmv,6922,49728,39.2452
MagnesiumConcentration,2229,49728,111.8909
ManganeseConcentration,611,49728,12.8349
MethaneMonitoringHomeActivity,2882,49728,4.7969
MetroInterstateTrafficVolume,1214,49728,0.7898
NaturalGasPricesSentiment,93,49728,0.0558
OccupancyDetectionLight,340,49728,0.6214
ParkingBirmingham_eq,1988,49728,0.7691
PhosphorusConcentration,2248,49728,113.0675
PotassiumConcentration,2230,49728,112.5608
PrecipitationAndalusia_nmv,672,49728,9.1458
SierraNevadaMountainsSnow,500,49728,0.5007
SodiumConcentration,607,49728,12.8139
SolarRadiationAndalusia_nmv,672,49728,8.4462
SteamPredictor,300,49728,1.8634
SulphurConcentration,635,49728,24.0551
WaveDataTension,1893,49728,1.9948
WindTurbinePower,852,49728,2.6313
ZincConcentration,636,49728,24.082
BeijingPM10Quality_nmv,16966,49728,12.7665
BeijingPM25Quality_nmv,16966,49728,12.7023
