dataset,n_samples,n_features,time_seconds
Covid3Month,201,777,1.7597
FloodModeling1,673,777,6.8421
FloodModeling2,667,777,6.411
FloodModeling3,613,777,5.9115
IEEEPPG,3096,3885,2917.9472
HouseholdPowerConsumption2_nmv,1431,3885,1916.7806
HouseholdPowerConsumption1_nmv,1431,3885,1931.0186
AppliancesEnergy,137,18648,29.9913
BenzeneConcentration_nmv,8512,6216,708.9841
LiveFuelMoistureContent,5003,5439,401.5259
BIDMC32RR,7870,1554,14221.3151
BIDMC32SpO2,7949,1554,14376.473
BIDMC32HR,7949,1554,14365.5327
AcousticContaminationMadrid_nmv,238,777,2.9577
AluminiumConcentration,629,777,304.1803
BarCrawl6min,201,2331,7.6521
BeijingIntAirportPM25Quality,1571,4662,71.3787
BinanceCoinSentiment,263,1554,4.6076
BitcoinSentiment,332,1554,6.6858
BoronConcentration,626,777,301.9713
CalciumConcentration,635,777,309.0238
CardanoSentiment,107,1554,2.219
ChilledWaterPredictor,459,3108,17.4015
CopperConcentration,629,777,304.2911
Covid19Andalusia,204,777,2.3253
DailyOilGasPrices,191,1554,3.7993
DhakaHourlyAirQuality,2068,777,17.4041
ElectricityPredictor,810,3108,30.429
EthereumSentiment,356,1554,6.3601
GasSensorArrayAcetone,464,777,797.4923
GasSensorArrayEthanol,464,777,797.1639
HotwaterPredictor,351,3108,13.486
IronConcentration,611,777,220.8731
LPGasMonitoringHomeActivity,2882,777,26.7782
MadridPM10Quality_nmv,6922,2331,200.4195
MagnesiumConcentration,2229,777,1729.3472
ManganeseConcentration,611,777,219.7553
MethaneMonitoringHomeActivity,2882,777,26.8601
MetroInterstateTrafficVolume,1214,3108,37.145
NaturalGasPricesSentiment,93,777,1.2411
OccupancyDetectionLight,340,2331,8.8011
ParkingBirmingham_eq,1988,777,16.123
PhosphorusConcentration,2248,777,1745.3984
PotassiumConcentration,2230,777,1730.8552
PrecipitationAndalusia_nmv,672,3108,31.5039
SierraNevadaMountainsSnow,500,2331,11.9772
SodiumConcentration,607,777,222.5326
SolarRadiationAndalusia_nmv,672,1554,16.4139
SteamPredictor,300,3108,11.4469
SulphurConcentration,635,777,307.4704
WaveDataTension,1893,777,16.9686
WindTurbinePower,852,777,8.804
ZincConcentration,636,777,309.0597
BeijingPM10Quality_nmv,16966,6993,1183.4635
BeijingPM25Quality_nmv,16966,6993,1179.4543
